"plot_plot_id","subplot_subp_id","lf_subp_lfno","lf_s_percent","lf_m_count","lf_m_percent","lf_l_count","lf_l_percent"
"946","1","1","100","44","100","256","100.0"
"946","2","1","100","36","82","169","66.015625"
"946","2","2","0","8","18","87","33.984375"
"946","3","1","100","44","100","256","100.0"
"946","4","1","100","44","100","256","100.0"
"946","5","1","100","41","93","186","72.65625"
"946","5","2","0","3","7","70","27.34375"
"310","1","1","100","44","100","256","100.0"
"310","2","1","100","44","100","256","100.0"
"310","3","1","100","44","100","256","100.0"
"310","4","1","100","44","100","256","100.0"
"234","1","2","0","0","0","44","17.1875"
"234","1","1","100","44","100","212","82.8125"
"234","2","2","100","44","100","256","100.0"
"234","2","1","0","0","0","0","0.0"
"234","3","1","100","44","100","256","100.0"
"234","4","1","0","0","0","2","0.78125"
"234","4","2","100","44","100","254","99.21875"
"234","5","2","100","44","100","256","100.0"
"234","5","1","0","0","0","0","0.0"
"945","1","1","100","44","100","256","100.0"
"945","2","1","100","44","100","256","100.0"
"945","3","1","100","44","100","256","100.0"
"945","4","1","100","44","100","256","100.0"
"945","5","1","100","44","100","256","100.0"
"309","1","1","100","44","100","256","100.0"
"309","2","1","100","44","100","256","100.0"
"309","3","1","100","44","100","256","100.0"
"309","4","1","100","44","100","256","100.0"
"309","5","1","100","44","100","256","100.0"
"273","1","1","100","44","100","256","100.0"
"273","2","1","100","44","100","256","100.0"
"273","3","1","100","44","100","256","100.0"
"273","4","1","100","44","100","256","100.0"
"273","5","1","100","44","100","256","100.0"
"1711","1","1","100","44","100","256","100.0"
"1711","2","1","100","44","100","256","100.0"
"1711","3","1","100","44","100","256","100.0"
"1710","1","1","100","44","100","256","100.0"
"1710","2","1","100","44","100","256","100.0"
"1710","3","1","100","44","100","256","100.0"
"1710","4","1","100","44","100","256","100.0"
"1710","5","1","100","44","100","256","100.0"
"1706","1","1","100","44","100","256","100.0"
"1706","2","1","100","44","100","256","100.0"
"1706","3","1","100","44","100","256","100.0"
"1706","4","1","100","44","100","256","100.0"
"1706","5","1","100","44","100","256","100.0"
"947","1","1","100","44","100","256","100.0"
"947","2","1","100","44","100","256","100.0"
"947","3","1","100","44","100","256","100.0"
"947","4","1","100","44","100","256","100.0"
"947","5","1","100","43","98","193","75.390625"
"947","5","2","0","1","2","63","24.609375"
"950","1","1","100","44","100","256","100.0"
"950","2","1","100","44","100","256","100.0"
"950","3","1","100","44","100","256","100.0"
"950","4","1","100","44","100","256","100.0"
"950","5","1","100","44","100","256","100.0"
"233","1","1","100","44","100","256","100.0"
"233","2","1","100","44","100","256","100.0"
"233","3","1","100","44","100","256","100.0"
"233","4","1","100","44","100","256","100.0"
"233","5","1","0","44","100","231","90.234375"
"233","5","2","100","0","0","25","9.765625"
"272","1","1","100","44","100","253","98.828125"
"272","2","1","100","39","89","181","70.703125"
"272","2","2","0","5","11","75","29.296875"
"272","3","1","100","44","100","256","100.0"
"272","4","1","100","44","100","256","100.0"
"272","5","1","0","0","0","6","2.34375"
"272","5","2","100","44","100","250","97.65625"
"130","1","1","100","44","100","256","100.0"
"130","2","1","100","44","100","256","100.0"
"130","3","1","100","44","100","256","100.0"
"130","4","1","100","44","100","256","100.0"
"130","5","1","100","44","100","256","100.0"
"307","1","1","100","44","100","256","100.0"
"307","2","1","100","44","100","256","100.0"
"307","3","1","100","44","100","256","100.0"
"307","4","1","100","44","100","256","100.0"
"307","5","1","100","44","100","256","100.0"
"1509","1","1","100","18","41","55","21.484375"
"1509","3","1","0","","0","3","1.171875"
"1509","5","1","0","12","27","36","14.0625"
"1510","1","1","100","44","100","256","100.0"
"1510","2","1","100","44","100","256","100.0"
"1510","3","1","100","44","100","256","100.0"
"1510","4","1","100","44","100","256","100.0"
"1510","5","1","100","44","100","256","100.0"
"1525","1","1","100","44","100","229","89.453125"
"1525","1","2","0","0","0","27","10.546875"
"1525","2","1","100","44","100","256","100.0"
"1525","3","2","100","44","100","256","100.0"
"1525","4","2","100","44","100","256","100.0"
"1525","5","1","100","44","100","256","100.0"
"1712","1","1","100","44","100","256","100.0"
"1712","2","1","100","44","100","256","100.0"
"1712","3","1","100","44","100","256","100.0"
"1712","4","1","100","44","100","256","100.0"
"1712","5","1","100","44","100","256","100.0"
"1715","2","1","100","44","100","239","93.359375"
"1715","2","2","0","0","0","17","6.640625"
"1715","3","1","100","44","100","256","100.0"
"1715","4","1","100","44","100","255","99.609375"
"1715","4","2","0","0","0","1","0.390625"
"1715","5","2","100","44","100","256","100.0"
"1715","1","1","100","44","100","230","89.84375"
"1715","1","2","0","0","0","26","10.15625"
"1707","1","1","100","44","100","256","100.0"
"1707","2","1","100","44","100","256","100.0"
"1707","3","1","100","44","100","256","100.0"
"1707","4","1","100","44","100","256","100.0"
"1707","5","1","100","44","100","256","100.0"
"1705","1","1","100","44","100","256","100.0"
"1705","2","1","100","44","100","256","100.0"
"1705","3","1","100","44","100","256","100.0"
"1705","4","1","100","44","100","256","100.0"
"1705","5","1","100","44","100","256","100.0"
"949","1","1","100","44","100","256","100.0"
"949","2","1","100","44","100","256","100.0"
"949","3","1","100","44","100","256","100.0"
"949","4","1","100","44","100","256","100.0"
"949","5","1","100","44","100","256","100.0"
"240","1","1","100","44","100","212","82.8125"
"240","1","2","0","0","0","44","17.1875"
"240","2","1","0","0","0","0","0.0"
"240","2","2","100","44","100","256","100.0"
"240","3","1","100","44","100","216","84.375"
"240","3","2","0","0","0","40","15.625"
"240","4","1","100","44","100","256","100.0"
"240","4","2","0","0","0","0","0.0"
"240","5","1","0","0","0","0","0.0"
"240","5","2","100","44","100","256","100.0"
"257","1","1","100","26","59","158","61.71875"
"257","1","2","0","18","41","98","38.28125"
"257","2","1","100","31","70","186","72.65625"
"257","2","2","0","13","30","70","27.34375"
"257","3","1","100","44","100","256","100.0"
"257","4","1","100","32","73","138","53.90625"
"257","4","2","0","","0","118","46.09375"
"257","5","2","0","44","100","256","100.0"
"135","1","1","100","44","100","256","100.0"
"135","2","1","100","44","100","256","100.0"
"135","3","1","100","44","100","256","100.0"
"135","4","1","100","44","100","256","100.0"
"135","5","1","100","44","100","256","100.0"
"314","1","1","100","44","100","256","100.0"
"314","3","1","100","44","100","256","100.0"
"314","4","1","100","44","100","256","100.0"
"314","5","1","100","44","100","256","100.0"
"255","1","1","100","44","100","256","100.0"
"255","2","1","100","44","100","256","100.0"
"255","3","1","100","44","100","256","100.0"
"255","4","1","100","44","100","256","100.0"
"255","5","1","100","44","100","256","100.0"
"1527","1","1","100","44","100","256","100.0"
"1527","2","1","0","44","100","249","97.265625"
"1527","3","1","0","44","100","256","100.0"
"1527","4","1","100","44","100","256","100.0"
"1527","5","1","0","44","100","256","100.0"
"1522","1","1","100","44","100","256","100.0"
"1522","2","1","100","30","68","248","96.875"
"1522","2","2","0","14","32","8","3.125"
"1522","3","1","100","44","100","256","100.0"
"1522","4","1","100","44","100","256","100.0"
"1522","5","1","100","44","100","256","100.0"
"1714","2","2","0","44","100","256","100.0"
"1523","1","1","100","44","100","256","100.0"
"1523","2","1","100","44","100","256","100.0"
"1523","3","1","100","44","100","256","100.0"
"1523","4","2","100","33","75","80","31.25"
"1523","4","1","0","11","25","176","68.75"
"1523","5","2","100","13","30","40","15.625"
"1523","5","1","0","31","70","216","84.375"
"226","1","1","100","44","100","256","100.0"
"226","2","1","100","44","100","256","100.0"
"226","3","1","100","44","100","256","100.0"
"226","4","1","100","44","100","256","100.0"
"226","5","1","100","44","100","256","100.0"
"232","1","1","100","44","100","256","100.0"
"232","2","1","100","44","100","256","100.0"
"232","3","1","100","44","100","256","100.0"
"232","4","1","100","44","100","256","100.0"
"232","5","1","100","44","100","256","100.0"
"236","1","1","100","44","100","256","100.0"
"236","2","1","100","44","100","256","100.0"
"236","4","1","100","44","100","256","100.0"
"236","5","1","100","44","100","256","100.0"
"303","1","1","100","44","100","256","100.0"
"303","2","1","100","44","100","256","100.0"
"303","3","1","100","44","100","256","100.0"
"303","4","1","0","22","50","216","84.375"
"303","4","2","100","22","50","40","15.625"
"303","5","1","100","44","100","76","29.6875"
"303","5","2","0","0","0","180","70.3125"
"318","1","1","100","44","100","256","100.0"
"318","2","1","100","44","100","256","100.0"
"318","4","1","100","44","100","256","100.0"
"318","3","1","100","44","100","256","100.0"
"318","5","1","100","44","100","256","100.0"
"317","1","1","100","44","100","256","100.0"
"317","1","2","0","","0","0","0.0"
"317","2","1","100","44","100","256","100.0"
"317","3","1","100","44","100","211","82.421875"
"317","3","2","0","0","0","45","17.578125"
"317","4","1","0","44","100","45","17.578125"
"317","4","2","100","0","0","211","82.421875"
"317","5","1","100","44","100","256","100.0"
"238","1","1","100","44","100","256","100.0"
"238","2","1","100","44","100","256","100.0"
"238","3","1","100","44","100","256","100.0"
"238","4","1","100","44","100","256","100.0"
"238","5","1","100","44","100","256","100.0"
"315","1","1","100","44","100","256","100.0"
"315","2","1","100","44","100","256","100.0"
"315","3","1","100","44","100","256","100.0"
"315","4","1","100","44","100","256","100.0"
"315","5","1","100","44","100","256","100.0"
"316","1","1","0","42","95","190","74.21875"
"316","1","2","100","2","5","66","25.78125"
"316","2","1","100","44","100","256","100.0"
"316","3","1","100","42","95","168","65.625"
"316","3","2","0","2","5","88","34.375"
"316","4","1","0","44","100","156","60.9375"
"316","4","2","100","0","0","100","39.0625"
"316","5","1","100","44","100","256","100.0"
"306","1","1","100","44","100","256","100.0"
"306","2","1","100","44","100","256","100.0"
"306","3","1","100","44","100","256","100.0"
"306","4","1","0","44","100","240","93.75"
"306","4","2","100","0","0","16","6.25"
"306","5","1","0","44","100","226","88.28125"
"306","5","2","100","0","0","30","11.71875"
"1520","1","1","100","44","100","256","100.0"
"1520","2","1","100","44","100","256","100.0"
"1520","3","1","100","44","100","256","100.0"
"1520","4","1","0","22","50","171","66.796875"
"1520","4","2","100","22","50","85","33.203125"
"1520","5","1","100","44","100","256","100.0"
"1521","1","1","100","44","100","256","100.0"
"1521","2","1","100","44","100","256","100.0"
"1521","3","1","100","44","100","256","100.0"
"1521","4","1","100","44","100","256","100.0"
"1521","5","1","100","44","100","256","100.0"
"1519","1","2","100","44","100","246","96.09375"
"1519","1","1","0","0","0","10","3.90625"
"1519","2","1","100","5","11","118","46.09375"
