"plot_plot_id","lf_lf_id","_lf_photos_position","lf_photo","pic_pos","pic_pos_label"
"946","1","1","2_c7f54616-ea1f-411c-9511-0e833de59d54.jpg","1","Centre > North"
"946","1","2","2_19a0a488-1b53-4826-89b8-a67129e29bb6.jpg","2","Centre > East"
"946","1","3","2_42b8b437-4afc-457e-80c3-744ad2e43dcc.jpg","3","Centre > South"
"946","1","4","2_b5744a22-c4cc-44d7-8e11-38c292319ebb.jpg","4","Centre > West"
"946","2","1","2_de1c2ba2-e052-46b2-b928-f0462683b14a.jpg","1","Centre > North"
"310","1","1","3_a01f2353-fb5e-468f-b8b9-2731cc2677ca.jpg","1","Centre > North"
"310","1","2","3_f8403b5c-5249-4a24-afe9-dad455d70dcd.jpg","2","Centre > East"
"310","1","3","3_e15eb562-a181-4e34-a3fc-1d0818dd6d26.jpg","3","Centre > South"
"310","1","4","3_b217e1b1-2256-4106-8faf-73e124c60d24.jpg","4","Centre > West"
"234","1","1","4_24b19a8c-52c5-4f74-84d9-2cee4703f2cf.jpg","1","Centre > North"
"234","1","2","4_9a5880e4-e141-422a-9e2d-3a5b869b15f4.jpg","2","Centre > East"
"234","1","3","4_2b212b56-67b1-43f8-9372-17922c1f4ad3.jpg","3","Centre > South"
"234","1","4","4_75154331-0cdf-4949-acaa-e1f987adfea1.jpg","4","Centre > West"
"234","2","1","4_402095f2-e976-4ec2-96e8-c215675a81d5.jpg","1","Centre > North"
"234","2","2","4_bc03c3bb-1c0c-4f97-a249-95243c26b046.jpg","2","Centre > East"
"234","2","3","4_72c4f7fe-1765-4c55-b73c-fc795761153c.jpg","3","Centre > South"
"234","2","4","4_8bfe9af8-6b4d-4fae-9461-e8a5d73876b6.jpg","4","Centre > West"
"945","1","1","5_b57150d4-1565-4577-a884-cd08f90117c9.jpg","1","Centre > North"
"945","1","2","5_1f932b6b-0e7e-4a9e-af23-1e3ea7bc9bfa.jpg","2","Centre > East"
"945","1","3","5_64aa5648-9862-4905-8d03-795d3d4c19e3.jpg","3","Centre > South"
"945","1","4","5_20ca9f7e-b509-4ab1-b585-0e2bfe02457b.jpg","4","Centre > West"
"309","1","1","6_119caee1-b92d-4b2d-88fe-a9818de58beb.jpg","1","Centre > North"
"309","1","2","6_709cb668-fa6f-4904-af5d-f780587f08ca.jpg","2","Centre > East"
"309","1","3","6_6ff06442-6596-44fc-8244-2e34faea31ce.jpg","3","Centre > South"
"309","1","4","6_9bfa9f16-fa7e-413a-8d46-f697f0eb9719.jpg","4","Centre > West"
"273","1","1","7_cc88726f-b0e7-4198-9e1d-c8d082dfefae.jpg","7","South > Centre"
"273","1","2","7_8c737535-d0ff-40e5-83a3-993a2ffbe278.jpg","8","West > Centre"
"273","1","3","7_f96a6982-ab37-4e50-9628-11be4bbe4934.jpg","6","East > Centre"
"273","1","4","7_2ff72ade-d9dc-4aea-970a-5845a0f81fcf.jpg","5","North > Centre"
"1711","1","1","8_312e44ff-6114-44dd-8ebd-88be21612d3c.jpg","1","Centre > North"
"1711","1","2","8_21867b9e-e69c-4bc3-b4c7-0e42d8eefcd4.jpg","2","Centre > East"
"1711","1","3","8_c60fc54d-1877-4aaf-ba31-24a908aad59d.jpg","3","Centre > South"
"1711","1","4","8_5611b4b8-d5f9-4d10-b482-aa834466c359.jpg","4","Centre > West"
"1710","1","1","9_5f8cc3bb-931e-4018-8b67-e873800dd6a8.jpg","1","Centre > North"
"1710","1","2","9_9d15a522-b2ce-4eab-baf6-2f8637b49f1d.jpg","2","Centre > East"
"1710","1","3","9_a1dcb06f-8e80-4344-9ed2-587467b3adca.jpg","3","Centre > South"
"1710","1","4","9_2351a072-7031-4351-9a57-3aad80be1b61.jpg","4","Centre > West"
"1706","1","1","10_9b9994e0-2d0e-48ae-9185-673c1af95a21.jpg","1","Centre > North"
"1706","1","2","10_585e9f2a-24d7-42fb-a07d-e75259ec369e.jpg","2","Centre > East"
"1706","1","3","10_5cff32da-eeeb-4b06-8b45-70b5b56cc99d.jpg","3","Centre > South"
"1706","1","4","10_bc5c44dd-282b-473c-b78e-f185654baca1.jpg","4","Centre > West"
"947","1","1","11_9b807f65-4342-4048-898d-6ab0862d16ea.jpg","1","Centre > North"
"947","1","2","11_6cbe4647-efa0-4546-b898-be359fa43c1a.jpg","2","Centre > East"
"947","1","3","11_b147a20c-5ea1-4196-997e-c8822e336cca.jpg","3","Centre > South"
"947","1","4","11_c09fedfa-9147-45be-a9ce-938ed5dc9e0a.jpg","4","Centre > West"
"947","2","1","11_0c72c76e-ce2a-4f3a-9efb-31bad85ecf99.jpg","1","Centre > North"
"947","2","2","11_d1e952a0-e51a-4ba2-8eac-8c5195d33b40.jpg","8","West > Centre"
"947","2","3","11_714c15a3-26d9-4aa2-b86d-07a80df2a522.jpg","5","North > Centre"
"947","2","4","11_69562cda-6595-4c8a-993c-8e1591889b71.jpg","2","Centre > East"
"950","1","1","12_3b0d5ec2-3d1e-40b9-84e6-ff0b9c72ed73.jpg","1","Centre > North"
"950","1","2","12_8e498bae-ec6b-4f3c-b6d5-c2a9f4f6e455.jpg","2","Centre > East"
"950","1","3","12_912c1f82-f91d-4ee3-8bd6-abb32a921dfb.jpg","3","Centre > South"
"950","1","4","12_a2acb7b1-e997-41a4-a0f7-eee36610753a.jpg","4","Centre > West"
"233","1","1","13_205d4cae-301b-4cb1-82bd-3f18247a6092.jpg","1","Centre > North"
"233","1","2","13_b64e1f32-5aba-4b7b-96d1-c8ac2b981957.jpg","2","Centre > East"
"233","1","3","13_1a522841-06b0-4c4d-8891-5303870f92c1.jpg","3","Centre > South"
