"plot_plot_id","lf_lf_id","object_id","object","object_label","vegetation_veg_type","vegetation_veg_type_label","vegetation_artif","vegetation_artif_label","vegetation_cover_perc","vegetation_cover_perc_label","vegetation_maturity","vegetation_maturity_label","vegetation_management","vegetation_management_qualifier","vegetation_management_label","vegetation_treatment[1]","vegetation_treatment_qualifier[1]","vegetation_treatment_label[1]","vegetation_treatment[2]","vegetation_treatment_qualifier[2]","vegetation_treatment_label[2]","vegetation_treatment[3]","vegetation_treatment_qualifier[3]","vegetation_treatment_label[3]","vegetation_treatment[4]","vegetation_treatment_qualifier[4]","vegetation_treatment_label[4]","vegetation_rotation","vegetation_rotation_label","vegetation_crop_details_crop[1]","vegetation_crop_details_crop_qualifier[1]","vegetation_crop_details_crop_label[1]","vegetation_crop_details_crop[2]","vegetation_crop_details_crop_qualifier[2]","vegetation_crop_details_crop_label[2]","vegetation_crop_details_crop[3]","vegetation_crop_details_crop_qualifier[3]","vegetation_crop_details_crop_label[3]","vegetation_crop_details_cultivation","vegetation_crop_details_cultivation_label","vegetation_crop_details_crop_watersup[1]","vegetation_crop_details_crop_watersup_qualifier[1]","vegetation_crop_details_crop_watersup_label[1]","vegetation_crop_details_crop_watersup[2]","vegetation_crop_details_crop_watersup_qualifier[2]","vegetation_crop_details_crop_watersup_label[2]","vegetation_crop_details_crop_watersup[3]","vegetation_crop_details_crop_watersup_qualifier[3]","vegetation_crop_details_crop_watersup_label[3]","non_veg_details_non_veg","non_veg_details_non_veg_label","non_veg_details_non_veg_perc","non_veg_details_non_veg_perc_label","water_details_water","water_details_water_qualifier","water_details_water_label","water_details_water_sal","water_details_water_sal_label","water_details_water_perc","water_details_water_perc_label"
"946","1","1","1","Vegetated","2","Woody understory","1","Natural or semi-natural","5","40-50%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"946","1","2","1","Vegetated","3","Herbs, Grass, Herbaceous crops","1","Natural or semi-natural","7","60-70%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"946","2","1","3","Water","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","River","1","Fresh","10","90-100%"
"310","1","1","1","Vegetated","2","Woody understory","1","Natural or semi-natural","10","90-100%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"310","1","2","1","Vegetated","3","Herbs, Grass, Herbaceous crops","1","Natural or semi-natural","8","70-80%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"234","1","1","2","Non-vegetated (Abiotic)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","Building / Structure","6","50-60%","","","","","","",""
"234","1","2","1","Vegetated","3","Herbs, Grass, Herbaceous crops","1","Natural or semi-natural","2","10-20%","2","Uneven age semi-natural forest","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"234","2","1","1","Vegetated","1","Tree","2","Cultivated and managed","","","2","Uneven age semi-natural forest","6","","Woodlot plantation","11","","Artificial regeneration","","","","","","","","","","3","20 to 30 years","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"234","2","2","1","Vegetated","2","Woody understory","1","Natural or semi-natural","4","30-40%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"234","2","3","1","Vegetated","3","Herbs, Grass, Herbaceous crops","1","Natural or semi-natural","5","40-50%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"945","1","1","1","Vegetated","1","Tree","1","Natural or semi-natural","","","1","Uneven age natural forest","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"945","1","2","1","Vegetated","2","Woody understory","1","Natural or semi-natural","6","50-60%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"945","1","3","1","Vegetated","3","Herbs, Grass, Herbaceous crops","1","Natural or semi-natural","7","60-70%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"309","1","1","1","Vegetated","2","Woody understory","1","Natural or semi-natural","10","90-100%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"309","1","2","1","Vegetated","3","Herbs, Grass, Herbaceous crops","1","Natural or semi-natural","8","70-80%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"273","1","1","1","Vegetated","3","Herbs, Grass, Herbaceous crops","2","Cultivated and managed","10","90-100%","","","","","","","","","","","","","","","","","","","","1","","Rice","","","","","","","2","Conventional tilling","1","","Irrigated","","","","","","","","","","","","","","","","",""
"1711","1","1","1","Vegetated","3","Herbs, Grass, Herbaceous crops","2","Cultivated and managed","10","90-100%","","","","","","","","","","","","","","","","","","","","1","","Rice","2","","Wheat","11","","Winter vegetables","2","Conventional tilling","4","","Both Rainfed and Irrigated","","","","","","","","","","","","","","","","",""
"1710","1","1","1","Vegetated","3","Herbs, Grass, Herbaceous crops","2","Cultivated and managed","10","90-100%","","","","","","","","","","","","","","","","","","","","1","","Rice","4","","Mustard","6","","Potato","2","Conventional tilling","3","","Rainfed","","","","","","","","","","","","","","","","",""
"1706","1","1","1","Vegetated","1","Tree","2","Cultivated and managed","","","3","Uneven plantation","11","","Village Common Forests","0","","None observed","","","","","","","","","","2","10 to 20 years","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1706","1","2","3","Water","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","","Pond","1","Fresh","3","20-30%"
"1706","1","3","2","Non-vegetated (Abiotic)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","Building / Structure","1","1-10%","","","","","","",""
"1706","1","4","1","Vegetated","2","Woody understory","2","Cultivated and managed","3","20-30%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1706","1","5","1","Vegetated","3","Herbs, Grass, Herbaceous crops","2","Cultivated and managed","5","40-50%","","","","","","","","","","","","","","","","","","","","1","","Rice","5","","Lentil","11","","Winter vegetables","2","Conventional tilling","3","","Rainfed","","","","","","","","","","","","","","","","",""
"947","1","1","1","Vegetated","1","Tree","2","Cultivated and managed","","","4","Even age planation","8","","Plantation (general)","0","","None observed","","","","","","","","","","99","Unknown","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"947","1","2","1","Vegetated","2","Woody understory","1","Natural or semi-natural","4","30-40%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"947","1","3","1","Vegetated","3","Herbs, Grass, Herbaceous crops","1","Natural or semi-natural","6","50-60%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"947","1","4","2","Non-vegetated (Abiotic)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","Building / Structure","4","30-40%","","","","","","",""
"947","2","1","3","Water","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","","Pond","1","Fresh","10","90-100%"
"950","1","1","1","Vegetated","1","Tree","2","Cultivated and managed","","","4","Even age planation","8","","Plantation (general)","0","","None observed","","","","","","","","","","99","Unknown","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"950","1","2","1","Vegetated","2","Woody understory","1","Natural or semi-natural","4","30-40%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"950","1","3","1","Vegetated","3","Herbs, Grass, Herbaceous crops","1","Natural or semi-natural","6","50-60%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"950","1","4","2","Non-vegetated (Abiotic)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","Building / Structure","4","30-40%","","","","","","",""
"233","1","1","1","Vegetated","1","Tree","1","Natural or semi-natural","","","1","Uneven age natural forest","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"233","1","2","1","Vegetated","2","Woody understory","1","Natural or semi-natural","7","60-70%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"233","1","3","1","Vegetated","3","Herbs, Grass, Herbaceous crops","1","Natural or semi-natural","5","40-50%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"233","1","4","3","Water","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","96","chara","Other (describe)","1","Fresh","1","1-10%"
"233","2","1","1","Vegetated","3","Herbs, Grass, Herbaceous crops","2","Cultivated and managed","8","70-80%","","","","","","","","","","","","","","","","","","","","1","","Rice","","","","","","","2","Conventional tilling","4","","Both Rainfed and Irrigated","","","","","","","","","","","","","","","","",""
