"plot_plot_id","subplot_subp_id","cwd_id","cwd_tran","cwd_tran_label","cwd_lf","cwd_sdist","cwd_dia","cwd_dia_unit_name","cwd_decay","cwd_decay_label"
"1706","1","1.0","0","No woody debris observed","","","","","",""
"1706","2","1.0","0","No woody debris observed","","","","","",""
"1706","4","1.0","0","No woody debris observed","","","","","",""
"1706","5","1.0","0","No woody debris observed","","","","","",""
"272","4","1.0","0","No woody debris observed","1","","","","",""
"1712","1","1.0","3","225","","7.8","11.2","","3","Moderate decay"
"1712","1","2.0","3","225","","7.6","10.7","","2","Low decay"
"1712","1","3.0","3","225","","7.5","14.3","","4","High decay"
"1712","1","4.0","4","315","","7.3","10.4","","4","High decay"
"1712","1","5.0","4","315","","3.3","10.2","","5","Rotten"
"1712","2","1.0","1","45","","0.6","10.0","","3","Moderate decay"
"1712","3","1.0","1","45","","1.15","10.0","","3","Moderate decay"
"1712","3","2.0","1","45","","1.5","15.0","","4","High decay"
"1712","3","3.0","3","225","","3.9","10.0","","3","Moderate decay"
"1712","3","4.0","4","315","","3.1","9.8","","4","High decay"
"1712","4","1.0","3","225","","7.8","10.0","","2","Low decay"
"1712","5","1.0","4","315","","5.9","9.0","","2","Low decay"
"1712","5","2.0","4","315","","6.9","8.5","","2","Low decay"
"1715","2","1.0","0","No woody debris observed","1","","","","",""
"1715","3","1.0","0","No woody debris observed","1","","","","",""
"1715","4","1.0","0","No woody debris observed","1","","","","",""
"1715","5","1.0","0","No woody debris observed","1","","","","",""
"1715","1","1.0","0","No woody debris observed","1","","","","",""
"1707","1","1.0","0","No woody debris observed","","","","","",""
"1707","2","1.0","0","No woody debris observed","","","","","",""
"1707","3","1.0","0","No woody debris observed","","","","","",""
"1707","4","1.0","0","No woody debris observed","","","","","",""
"1707","5","1.0","0","No woody debris observed","","","","","",""
"1705","1","1.0","0","No woody debris observed","","","","","",""
"1705","2","1.0","0","No woody debris observed","","","","","",""
"1705","3","1.0","0","No woody debris observed","","","","","",""
"1705","4","1.0","0","No woody debris observed","","","","","",""
"1705","5","1.0","0","No woody debris observed","","","","","",""
"232","3","1.0","1","45","","","","","",""
"1521","1","1.0","1","45","1","5.3","16.0","","3","Moderate decay"
"1521","5","1.0","3","225","1","6.4","11.0","","5","Rotten"
"1505","1","1.0","3","225","","0.5","10.0","","4","High decay"
"1505","4","1.0","4","315","","1.3","8.2","","4","High decay"
"1502","5","1.0","4","315","","3.2","9.1","","4","High decay"
"1494","1","1.0","1","45","","2.55","12.0","","4","High decay"
"1501","3","1.0","0","No woody debris observed","","","","","",""
"1495","1","1.0","1","45","1","3.73","9.5","","4","High decay"
"1495","2","1.0","2","135","1","7.9","9.0","","4","High decay"
