plot_id,plot_record_plot_date,plot_record_plot_date_year,plot_record_plot_date_month,plot_record_plot_date_day,plot_record_arriving_from,plot_record_arriving_from_qualifier,plot_record_arriving_from_label,plot_record_time_dep,plot_record_time_dep_hour,plot_record_time_dep_minute,plot_record_plot_do_from,plot_record_plot_do_from_qualifier,plot_record_plot_do_from_label,plot_record_time_start,plot_record_time_start_hour,plot_record_time_start_minute,location_zone,location_coordinate,location_coordinate_srs,location_coordinate_x,location_coordinate_y,location_plot_location,location_forest_admin_forest_div,location_forest_admin_forest_div_qualifier,location_forest_admin_forest_div_label,location_forest_admin_forest_rang,location_forest_admin_forest_rang_label,location_forest_admin_forest_beat,location_forest_admin_forest_beat_qualifier,location_forest_admin_forest_beat_label,location_forest_admin_forest_other,plot_details_plot_teamnbr,plot_details_plot_teamnbr_qualifier,plot_details_plot_teamnbr_label,plot_details_plot_leader,plot_details_plot_dleader,plot_details_plot_status,plot_details_plot_status_label,plot_details_plot_nonsample_reason,plot_details_plot_nonsample_reason_qualifier,plot_details_plot_nonsample_reason_label,plot_details_plot_access_sketch,rp_attributes_start_time_collection,rp_attributes_start_time_collection_hour,rp_attributes_start_time_collection_minute,rp_attributes_rp_subplot,rp_attributes_rp_subplot_label,rp_attributes_rp_type,rp_attributes_rp_type_qualifier,rp_attributes_rp_type_label,rp_attributes_rp_spp_code,rp_attributes_rp_spp_scientific_name,rp_attributes_rp_spp_vernacular_name,rp_attributes_rp_spp_language_code,rp_attributes_rp_spp_language_variety,rp_attributes_rp_dia,rp_attributes_rp_bearing,rp_attributes_rp_bearing_unit_name,rp_attributes_rp_dist,rp_attributes_rp_dist_unit_name,rp_attributes_rp_gps,rp_attributes_rp_gps_srs,rp_attributes_rp_gps_x,rp_attributes_rp_gps_y,rp_attributes_rp_pic,rp_attributes_rp_notes,plot_end_lf_sketch,plot_end_plot_to,plot_end_plot_to_qualifier,plot_end_plot_to_label,plot_end_plot_do_to,plot_end_plot_do_to_qualifier,plot_end_plot_do_to_label,plot_end_plot_notes,plot_end_end_time,plot_end_end_time_hour,plot_end_end_time_minute
946,22/11/2016,2016,11,22,1,,FD Office,08:30,8,30,6,Karerhat Range Office,Karerhat Range Office,12:25,12,25,,SRID=EPSG:4326;POINT(91.625296 22.961678),EPSG:4326,92.325296,22.261678,"Chittagong
Chittagong
Fatikchhari
Bagan Bazar",999,Chittagong North Forest Division,Other,,,999,koyla,Other,,1,,Inventory Team 1,Md. Shahin Kabir,Md. Sarawar Jahan,1,Accessible - Sampled completely,,,,2_5e3f645f-c9cc-4027-a861-4e9b94705d7b.jpg,11:29,11,29,1,Centre,1,,Tree,MIM/Alb/luc,Albizia lucidior,,,,54.1,195,,59.2,,SRID=EPSG:4326;POINT(92.625150 22.961100),EPSG:4326,92.62515,22.9611,2_28550115-fdc5-4c27-9f30-7e3be94df41c.jpg,,289_339.jpg,2,945,Another plot / Other,,,,,16:20,16,20
310,22/11/2016,2016,11,22,1,,FD Office,08:00,8,0,70,Rajarkul Range Office,Rajarkul Range Office,10:20,10,20,,SRID=EPSG:4326;POINT(92.125297 21.361678),EPSG:4326,92.825297,20.661678,"Chittagong
Cox'S Bazar
Ramu
Khuniapalong",27,Cox'sbazar South Forest,Cox'sbazar South  Forest,216,Rajarkul Range,568,Upparreju,Upparreju,,3,,Inventory Team 3,"Mohammad sohal rana, ACF","Saiful Islam, Forester",1,Accessible - Sampled completely,,,,3_3d3cd190-07fc-4b42-b894-25ed79f3f04b.jpg,11:29,11,29,1,Centre,4,,House/structure,,,,,,,176,,55,,SRID=EPSG:4326;POINT(21.362190 92.125280),EPSG:4326,21.36219,92.12528,3_206fffda-4aa4-4b6e-aced-87ee783e5383.jpg,Unused tubewel.,3_2a02213c-e0e5-4dd8-a3c1-6dff7eb244ac.jpg,1,,FD Office,70,Rajarkul Range Office,Rajarkul Range Office,,16:34,16,34
234,22/11/2016,2016,11,22,1,,FD Office,08:28,8,28,18,Dohajari Range Office,Dohajari Range Office,08:35,8,35,,SRID=EPSG:4326;POINT(92.108630 22.161678),EPSG:4326,92.80863,21.461678,"Chittagong
Chittagong
Chandanaish
Dohazari",999,chittagong south forest division,Other,197,Dohazari Range,512,Lalutia,Lalutia,,2,,Inventory Team 2,Md. Anisur Rahman,Uhlamong Chowdhury,1,Accessible - Sampled completely,3,,Restricted area,4_059e5d4d-6e4f-4d8f-bb39-a9831bf9058e.jpg,11:29,11,29,1,Centre,4,,House/structure,,,,,,,56,,14,,SRID=EPSG:4326;POINT(92.108540 22.161580),EPSG:4326,92.10854,22.16158,4_d338aed6-826c-411a-9dc8-1ea620c0e55b.jpg,Tin shade house,4_9a644aa4-6225-42b2-af8f-d3a21e9f7706.jpg,1,,FD Office,999,lalutia,Other,Plot was located within kazi poultry farm. Lf 1 is composed of 2 tin shade poultry hose.,05:20,5,20
945,23/11/2016,2016,11,23,1,,FD Office,08:00,8,0,6,Karerhat Range Office,Karerhat Range Office,09:30,9,30,,SRID=EPSG:4326;POINT(91.641963 22.936678),EPSG:4326,92.341963,22.236678,"Chittagong
Chittagong
Fatikchhari
Bagan Bazar",999,chittagong north forest division,Other,176,Karerhat Range,999,koyla,Other,,1,,Inventory Team 1,Md. Shahin Kabir,Md. Sarawar Jahan,1,Accessible - Sampled completely,,,,5_00429c2f-6659-413f-83ea-ee69188e9fa8.jpg,11:29,11,29,1,Centre,1,,Tree,MYR/Syz/pra,Syzygium praecox,,,,29,198,,9.5,,SRID=EPSG:4326;POINT(91.641920 22.936600),EPSG:4326,91.64192,22.9366,5_d1e85c2a-6c08-4c92-ba6f-1f1972ff439c.jpg,,5_3a41d84a-bf5a-46c2-a03d-0f99a7fda872.jpg,1,,FD Office,6,Karerhat Range Office,Karerhat Range Office,,13:34,13,34
309,23/11/2016,2016,11,23,1,,FD Office,08:45,8,45,70,Rajarkul Range Office,Rajarkul Range Office,10:00,10,0,,SRID=EPSG:4326;POINT(92.091963 21.386678),EPSG:4326,92.791963,20.686678,"Chittagong
Cox'S Bazar
Ramu
Kauarkhop",27,Cox'sbazar South Forest,Cox'sbazar South  Forest,216,Rajarkul Range,566,Rajarkul,Rajarkul,,3,,Inventory Team 3,"Mohammad sohal rana, ACF","Saiful islam, Fr.",1,Accessible - Sampled completely,,,,6_9fb1ce85-d86c-4f88-a350-da9e47614105.jpg,11:29,11,29,1,Centre,1,,Tree,MIM/Aca/aur,Acacia auriculiformis,,,,8.5,198,,144,,SRID=EPSG:4326;POINT(21.387900 92.092380),EPSG:4326,21.3879,92.09238,6_889ead13-032c-44c6-b063-02e3a5925898.jpg,Healthy tree boundray of plantation of 2013-14 at rajarkul beat in rajarkul range.,6_660d6767-1486-4ab0-958a-e61f4bf54831.jpg,1,,FD Office,70,Rajarkul Range Office,Rajarkul Range Office,Near the border line of ramu cantonment.,16:13,16,13
273,23/11/2016,2016,11,23,1,,FD Office,09:06,9,6,999,lalutia beat office,Other,09:45,9,45,,SRID=EPSG:4326;POINT(92.091963 22.136678),EPSG:4326,92.791963,21.436678,"Chittagong
Chittagong
Satkania
Dharmapur",999,chittagong south forest division,Other,197,Dohazari Range,512,Lalutia,Lalutia,,2,,Inventory Team 2,Md. Anisur Rahman,Uhlamong Chowdhury,1,Accessible - Sampled completely,,,,7_ebde6317-ef1d-4c89-818e-9bb934780cbb.jpg,11:29,11,29,1,Centre,4,,House/structure,,,,,,,230,,262,,SRID=EPSG:4326;POINT(92.093870 22.138140),EPSG:4326,92.09387,22.13814,7_c7a83a20-75ed-412f-a4c6-b7fa61bf5952.jpg,Pillar of a building,7_76599451-310b-4f78-9435-14abb385f81c.jpg,1,,FD Office,999,dhopachari beat office,Other,Entire paddy field,14:53,14,53
1711,23/11/2016,2016,11,23,2,hotel mohona,Another plot / Other,07:33,7,33,,,,09:33,9,33,,SRID=EPSG:4326;POINT(91.141963 22.336678),EPSG:4326,91.841963,21.636678,"Chittagong
Noakhali
Hatiya
Char Ishwar",40,Noakhali Coastal Forest,Noakhali Coastal Forest,313,Nalchira Range,999,oskhali,Other,Bangla bazar,13,,Inventory Team 13,Abul kalam azad,Mizanur rahman,1,Accessible - Sampled completely,,,,8_b0562721-18fa-4c85-a100-394d4afd598a.jpg,11:29,11,29,1,Centre,4,,House/structure,ARE/Coc/nuc,Cocos nucifera,,,,32.2,112,,104,,SRID=EPSG:4326;POINT(91.141030 22.337010),EPSG:4326,91.14103,22.33701,8_1b345b1d-1cf9-4bb8-bdc6-b1df07a1ff7a.jpg,"Khan shaber bari,hamidullah village,purba gamsakhali ,ward no 5,charishar,hatiy",8_677d210f-3ec3-4210-947f-342cbe576c88.jpg,2,1710,Another plot / Other,,,,,12:06,12,6
1710,23/11/2016,2016,11,23,2,1711,Another plot / Other,12:11,12,11,,,,01:12,1,12,,SRID=EPSG:4326;POINT(91.158630 22.311678),EPSG:4326,91.85863,21.611678,"Chittagong
Noakhali
Hatiya
Char Ishwar",40,Noakhali Coastal Forest,Noakhali Coastal Forest,313,Nalchira Range,999,nalchira,Other,,13,,Inventory Team 13,Abul kalam azad,Mizanur rahman,1,Accessible - Sampled completely,,,,9_18ffbf0e-ac2a-446d-8ab1-79df98ea9c26.jpg,11:29,11,29,1,Centre,4,,House/structure,,,,,,,146,,130,,SRID=EPSG:4326;POINT(91.157910 22.312630),EPSG:4326,91.15791,22.31263,9_8f2c79f1-7960-4d58-a33e-63713f700b71.jpg,"Adinathkumarer bari,charlatia,ward no 7,oskhali,hatiya",9_a760f19a-e8bb-4558-ba97-032f60a88564.jpg,2,hotel mohona,Another plot / Other,,,,,05:26,5,26
1706,24/11/2016,2016,11,24,2,hotel mohona,Another plot / Other,07:21,7,21,,,,09:21,9,21,,SRID=EPSG:4326;POINT(91.125296 22.236678),EPSG:4326,91.825296,21.536678,"Chittagong
Noakhali
Hatiya
Burir Char",40,Noakhali Coastal Forest,Noakhali Coastal Forest,314,Sagoria Range,,,,,13,,Inventory Team 13,Abul kalam azad,Mizanur rahman,1,Accessible - Sampled completely,,,,10_9a30cd45-cdac-4f11-a6e7-203e60dccc40.jpg,11:29,11,29,1,Centre,4,,House/structure,,,,,,,226,,16.45,,SRID=EPSG:4326;POINT(91.125260 22.236560),EPSG:4326,91.12526,22.23656,10_6ab0dc5c-4ea2-4066-8cc3-0eba8faf0e03.jpg,"Abul hossen,gullakhali,surjomukhi,burirchar,wardno 9,hatiya",10_3b79184a-4730-4b90-8d89-24ae269623e2.jpg,2,hotel mohona,Another plot / Other,,,,,04:40,4,40
947,24/11/2016,2016,11,24,1,,FD Office,08:00,8,0,6,Karerhat Range Office,Karerhat Range Office,09:15,9,15,,SRID=EPSG:4326;POINT(91.691963 22.961678),EPSG:4326,92.391963,22.261678,"Chittagong
Chittagong
Fatikchhari
Bagan Bazar",999,Chittagong North Forest Division,Other,176,Karerhat Range,999,Andharmanik,Other,,1,,Inventory Team 1,Md. Shahin Kabir,Md. Sawarar Jahan,1,Accessible - Sampled completely,,,,11_b3516c0a-4d93-495c-985a-e2f4468ab584.jpg,11:29,11,29,1,Centre,4,,House/structure,,,,,,,175,,9.9,,SRID=EPSG:4326;POINT(91.691970 22.961590),EPSG:4326,91.69197,22.96159,11_d5762469-8eb1-48c0-b10b-ad5c29d41484.jpg,"RP is the north-western part of a house that belongs to Md.Shahabuddin, Village: Motinnagar, Fatikchhari, Chittagong. It is from 9.9 m distance from the subplot 1.",11_bd2720c7-5c1b-471a-b1ce-da1fce0bad9d.jpg,1,,FD Office,6,Karerhat Range Office,Karerhat Range Office,,15:15,15,15
