"plot_plot_id","subplot_subp_id","_fwd_position","fwd_tran","fwd_tran_label","fwd_lfid","fwd_smallct","fwd_medct","fwd_lrgct","fwd_highct","fwd_highct_qualifier","fwd_highct_label"
"310","1","1","1","45","1","14.0","0.0","0.0","","",""
"310","1","2","2","135","1","17.0","0.0","0.0","","",""
"310","1","3","3","225","1","18.0","4.0","0.0","","",""
"310","1","4","4","315","1","8.0","0.0","0.0","","",""
"310","2","1","1","45","1","5.0","0.0","0.0","","",""
"310","2","2","2","135","1","6.0","0.0","0.0","","",""
"310","2","3","3","225","1","8.0","0.0","0.0","","",""
"310","2","4","4","315","1","12.0","2.0","0.0","","",""
"310","3","1","1","45","1","2.0","0.0","0.0","","",""
"310","3","2","2","135","1","10.0","0.0","0.0","","",""
"310","3","3","3","225","1","12.0","0.0","0.0","","",""
"310","3","4","4","315","1","6.0","0.0","0.0","","",""
"310","4","1","1","45","1","14.0","0.0","0.0","","",""
"310","4","2","2","135","1","","0.0","0.0","","",""
"310","4","3","3","225","1","15.0","0.0","0.0","","",""
"310","4","4","4","315","1","23.0","2.0","0.0","","",""
"310","5","1","1","45","1","8.0","","","","",""
"310","5","2","2","135","1","6.0","0.0","0.0","","",""
"310","5","3","3","225","1","11.0","","","","",""
"310","5","4","4","315","1","16.0","","","","",""
"234","2","1","1","45","2","12.0","","","","",""
"234","2","2","2","135","2","4.0","","","","",""
"234","2","3","3","225","2","5.0","1.0","","","",""
"234","2","4","4","315","2","4.0","","","","",""
"234","4","1","1","45","2","4.0","","","","",""
"234","4","2","2","135","2","6.0","","","","",""
"234","4","3","3","225","2","4.0","","","","",""
"234","4","4","4","315","2","3.0","","","","",""
"234","5","1","1","45","2","4.0","","","","",""
"234","5","2","2","135","2","6.0","","","","",""
"234","5","3","3","225","2","3.0","","","","",""
"945","1","1","1","45","1","2.0","0.0","0.0","","",""
"945","1","2","2","135","1","1.0","0.0","0.0","","",""
"945","1","3","3","225","1","0.0","0.0","0.0","","",""
"945","1","4","4","315","1","0.0","0.0","0.0","","",""
"945","4","1","1","45","1","2.0","0.0","0.0","","",""
"945","4","2","2","135","1","3.0","0.0","0.0","","",""
"945","4","3","3","225","1","0.0","0.0","0.0","","",""
"945","4","4","4","315","1","2.0","0.0","0.0","","",""
"309","2","1","1","45","1","11.0","1.0","0.0","","",""
"309","2","2","2","135","1","14.0","0.0","0.0","","",""
"309","2","3","3","225","1","12.0","0.0","0.0","","",""
"309","2","4","4","315","1","4.0","0.0","0.0","","",""
"309","3","1","1","45","1","9.0","0.0","0.0","","",""
"309","3","2","2","135","1","10.0","0.0","0.0","","",""
"309","3","3","3","225","1","5.0","0.0","0.0","","",""
"309","3","4","4","315","1","11.0","0.0","0.0","","",""
"309","4","1","1","45","1","16.0","0.0","0.0","","",""
"309","4","2","2","135","1","3.0","0.0","0.0","","",""
"309","4","3","3","225","1","17.0","0.0","0.0","","",""
"309","4","4","4","315","1","3.0","0.0","0.0","","",""
"309","5","1","1","45","1","28.0","0.0","0.0","","",""
"309","5","2","2","135","1","5.0","0.0","0.0","","",""
"309","5","3","3","225","1","15.0","0.0","0.0","","",""
"309","5","4","4","315","1","19.0","0.0","0.0","","",""
"1706","1","1","1","45","1","","0.0","0.0","","",""
"1706","1","2","2","135","1","10.0","0.0","0.0","","",""
"1706","1","3","3","225","1","6.0","0.0","0.0","","",""
"1706","1","4","4","315","1","0.0","0.0","0.0","","",""
"1706","4","1","1","45","1","10.0","0.0","0.0","","",""
"1706","4","2","2","135","1","0.0","0.0","0.0","","",""
"1706","4","3","3","225","1","0.0","0.0","0.0","","",""
"1706","4","4","4","315","1","11.0","0.0","0.0","","",""
"1706","5","1","1","45","1","16.0","0.0","0.0","","",""
"1706","5","2","2","135","1","8.0","0.0","0.0","","",""
"1706","5","3","3","225","1","0.0","0.0","","","",""
"1706","5","4","4","315","1","0.0","0.0","0.0","","",""
"947","2","1","1","45","1","2.0","0.0","0.0","","",""
"947","2","2","2","135","1","5.0","0.0","0.0","","",""
"947","2","3","3","225","1","14.0","0.0","0.0","","",""
"947","2","4","4","315","1","2.0","0.0","0.0","","",""
"947","3","1","1","45","1","5.0","0.0","0.0","","",""
"947","3","2","2","135","1","3.0","0.0","0.0","","",""
"947","3","3","3","225","1","4.0","1.0","0.0","","",""
"947","3","4","4","315","1","3.0","0.0","0.0","","",""
"947","4","1","1","45","1","6.0","0.0","0.0","","",""
"947","4","2","2","135","1","5.0","0.0","0.0","","",""
"947","4","3","3","225","1","9.0","0.0","0.0","","",""
"947","4","4","4","315","1","4.0","0.0","0.0","","",""
"950","1","1","1","45","1","2.0","0.0","0.0","","",""
"950","1","2","2","135","1","0.0","0.0","0.0","","",""
"950","1","3","3","225","1","2.0","0.0","0.0","","",""
"950","1","4","4","315","1","2.0","2.0","0.0","","",""
"950","5","1","1","45","1","3.0","0.0","0.0","","",""
"950","5","2","2","135","1","7.0","2.0","","","",""
"950","5","3","3","225","1","0.0","0.0","0.0","","",""
"950","5","4","4","315","1","0.0","0.0","0.0","","",""
"233","1","1","1","45","1","32.0","","","","",""
"233","1","2","2","135","1","21.0","","","","",""
"233","1","3","3","225","1","19.0","","","","",""
"233","1","4","4","315","1","34.0","","","","",""
"233","2","1","1","45","1","29.0","","","","",""
"233","2","2","2","135","1","21.0","","","","",""
"233","2","3","3","225","1","7.0","","","","",""
"233","2","4","4","315","1","0.0","","","","",""
"233","3","1","1","45","1","23.0","","","","",""
"233","3","2","2","135","1","27.0","","","","",""
"233","3","3","3","225","1","31.0","","","","",""
"233","3","4","4","315","1","18.0","","","","",""
"233","4","1","1","45","1","11.0","","","","",""
"233","4","2","2","135","1","8.0","","","","",""
"233","4","3","3","225","1","5.0","","","","",""
"233","4","4","4","315","1","6.0","","","","",""
"272","1","1","2","135","1","4.0","","","","",""
"272","1","2","1","45","","","","","","",""
"272","1","3","3","225","1","2.0","","","","",""
"272","1","4","4","315","1","2.0","","","","",""
"272","2","1","1","45","1","2.0","","","","",""
"272","2","2","2","135","","6.0","","","","",""
"272","2","3","3","225","1","2.0","","","","",""
"272","2","4","4","315","2","1.0","","","","",""
"272","3","1","1","45","1","12.0","","","","",""
"272","3","2","2","135","","9.0","","","","",""
"272","3","3","3","225","","4.0","","","","",""
"272","3","4","4","315","","9.0","","","","",""
"272","4","1","1","45","1","2.0","2.0","","","",""
"272","4","2","2","135","1","5.0","2.0","","","",""
"272","4","3","3","225","","","2.0","","","",""
"272","4","4","4","315","","3.0","5.0","","","",""
"130","1","1","1","45","1","24.0","0.0","0.0","","",""
"130","1","2","2","135","1","7.0","0.0","0.0","","",""
"130","1","3","3","225","1","1.0","0.0","0.0","","",""
"130","1","4","4","315","1","9.0","0.0","0.0","","",""
"130","2","1","1","45","1","3.0","1.0","0.0","","",""
"130","2","2","2","135","1","3.0","0.0","0.0","","",""
"130","2","3","3","225","1","15.0","1.0","0.0","","",""
"130","2","4","4","315","1","12.0","0.0","0.0","","",""
"130","3","1","1","45","1","13.0","2.0","0.0","","",""
"130","3","2","2","135","1","6.0","0.0","0.0","","",""
"130","3","3","3","225","1","29.0","0.0","0.0","","",""
"130","3","4","4","315","1","7.0","2.0","0.0","","",""
"130","4","1","1","45","1","11.0","0.0","0.0","","",""
"130","4","2","2","135","1","15.0","2.0","0.0","","",""
"130","4","3","3","225","1","15.0","2.0","0.0","","",""
"130","4","4","4","315","1","15.0","1.0","0.0","","",""
"130","5","1","1","45","1","17.0","0.0","0.0","","",""
"130","5","2","2","135","1","11.0","1.0","0.0","","",""
"130","5","3","3","225","1","14.0","0.0","0.0","","",""
"130","5","4","4","315","1","33.0","0.0","0.0","","",""
"307","1","1","1","45","1","6.0","0.0","0.0","","",""
"307","1","2","2","135","1","12.0","0.0","0.0","","",""
"307","1","3","3","225","1","11.0","0.0","0.0","","",""
"307","1","4","4","315","1","3.0","1.0","0.0","","",""
"307","2","1","1","45","1","6.0","1.0","0.0","","",""
"307","2","2","2","135","1","7.0","0.0","0.0","","",""
"307","2","3","3","225","1","5.0","0.0","0.0","","",""
"307","2","4","4","315","1","5.0","0.0","0.0","","",""
"307","3","1","1","45","1","4.0","0.0","0.0","","",""
"307","3","2","2","135","1","2.0","0.0","0.0","","",""
"307","3","3","3","225","1","9.0","2.0","0.0","","",""
"307","3","4","4","315","1","3.0","0.0","0.0","","",""
"307","4","1","1","45","1","12.0","0.0","0.0","","",""
"307","4","2","2","135","1","20.0","0.0","0.0","","",""
"307","4","3","3","225","1","14.0","0.0","0.0","","",""
"307","4","4","4","315","1","13.0","0.0","0.0","","",""
"307","5","1","1","45","1","11.0","0.0","0.0","","",""
"307","5","2","2","135","1","8.0","0.0","0.0","","",""
"307","5","3","3","225","1","1.0","0.0","0.0","","",""
"307","5","4","4","315","1","8.0","0.0","0.0","","",""
"1525","4","1","1","45","2","0.0","0.0","1.0","","",""
"1525","4","2","2","135","2","0.0","0.0","2.0","","",""
"1525","4","3","3","225","2","0.0","0.0","0.0","","",""
"1525","4","4","4","315","2","0.0","0.0","0.0","","",""
"1712","1","1","1","45","1","9.0","0.0","0.0","","",""
"1712","1","2","2","135","1","23.0","2.0","0.0","","",""
"1712","1","3","3","225","1","15.0","2.0","1.0","","",""
