plot_plot_id,subplot_subp_id,bamboo_id,bamboo_lf,bamboo_sp_code,bamboo_sp_scientific_name,bamboo_sp_vernacular_name,bamboo_sp_language_code,bamboo_sp_language_variety,bamboo_bear,bamboo_bear_unit_name,bamboo_dist,bamboo_dist_unit_name,bamboo_lgt,bamboo_lgt_method,bamboo_lgt_method_label,bamboo_dia,bamboo_number,bamboo_notes
945,5,1,1,POA/Mel/bac,Melocanna baccifera,,,,220,,1.2,,8.9,1,Laser Range Finder,3.7,13,
945,5,2,1,POA/Mel/bac,Melocanna baccifera,,,,35,,5.6,,5,1,Laser Range Finder,3.5,3,
945,5,3,1,POA/Mel/bac,Melocanna baccifera,,,,355,,7.2,,8.9,1,Laser Range Finder,3.1,10,
1706,1,1,1,POA/Bam/vul,Bambusa vulgaris,,,,95,,6.3,,7.66,1,Laser Range Finder,4.32,21,
1706,5,1,1,POA/Bam/vul,Bambusa vulgaris,,,,85,,7.1,,18,1,Laser Range Finder,5.3,3,
947,3,1,1,POA/Bam/vul,Bambusa vulgaris,,,,70,,5.1,,13.2,1,Laser Range Finder,7.25,22,
947,5,1,1,POA/Bam/vul,Bambusa vulgaris,,,,165,,7.9,,18,1,Laser Range Finder,7.9,55,
233,5,1,1,POA/Mel/bac,Melocanna baccifera,,,,175,,6.5,,5,1,Laser Range Finder,4.2,5,
130,1,1,1,POA/Mel/bac,Melocanna baccifera,,,,225,,5.9,,2,1,Laser Range Finder,1.5,16,
130,2,1,1,POA/Mel/bac,Melocanna baccifera,,,,250,,4.99,,5.5,1,Laser Range Finder,2.7,51,
130,2,2,1,POA/Mel/bac,Melocanna baccifera,,,,275,,7.21,,4.3,1,Laser Range Finder,1.8,21,
130,3,1,1,POA/Mel/bac,Melocanna baccifera,,,,340,,6.1,,3,1,Laser Range Finder,2.1,17,
130,3,2,1,POA/Mel/bac,Melocanna baccifera,,,,355,,6.3,,7,1,Laser Range Finder,3,31,
130,3,3,1,POA/Mel/bac,Melocanna baccifera,,,,38,,4,,6.5,1,Laser Range Finder,3.1,61,
130,3,4,1,POA/Mel/bac,Melocanna baccifera,,,,108,,3.56,,8,1,Laser Range Finder,3,5,
130,5,1,1,POA/Mel/bac,Melocanna baccifera,,,,85,,8,,8.2,1,Laser Range Finder,2.2,44,
307,5,1,1,POA/Mel/bac,Melocanna baccifera,,,,333,,4.55,,5.3,1,Laser Range Finder,2.1,32,
135,3,1,1,POA/Bam/bur,Bambusa burmanica,,,,340,,3.47,,8.6,1,Laser Range Finder,2.2,9,
135,4,1,1,POA/Bam/bur,Bambusa burmanica,,,,18,,2.19,,3.6,1,Laser Range Finder,1.5,173,
314,1,1,1,POA/Mel/bac,Melocanna baccifera,,,,240,,7.8,,4.6,1,Laser Range Finder,2.3,8,
255,3,1,1,POA/Mel/bac,Melocanna baccifera,,,,343,,5.5,,10,1,Laser Range Finder,5.6,11,
255,5,1,1,POA/Mel/bac,Melocanna baccifera,,,,255,,7.7,,3,1,Laser Range Finder,2.2,20,
255,5,2,1,POA/Mel/bac,Melocanna baccifera,,,,274,,7.1,,5,1,Laser Range Finder,4.1,23,
255,5,3,1,POA/Mel/bac,Melocanna baccifera,,,,305,,6.2,,7,1,Laser Range Finder,5.5,13,
226,2,1,1,POA/Mel/bac,Melocanna baccifera,,,,320,,3.2,,4.1,1,Laser Range Finder,1.3,44,Good growth
226,2,2,1,POA/Mel/bac,Melocanna baccifera,,,,337,,2.1,,2.2,1,Laser Range Finder,1.3,32,Good growth
226,3,1,1,POA/Mel/bac,Melocanna baccifera,,,,1,,3.1,,2,1,Laser Range Finder,2,15,
226,3,2,1,POA/Mel/bac,Melocanna baccifera,,,,90,,4.6,,2,1,Laser Range Finder,2,18,
226,3,3,1,POA/Mel/bac,Melocanna baccifera,,,,105,,1.8,,2,1,Laser Range Finder,2.1,9,
226,3,4,1,POA/Mel/bac,Melocanna baccifera,,,,125,,5.4,,2.1,1,Laser Range Finder,2.2,8,
226,3,5,1,POA/Mel/bac,Melocanna baccifera,,,,272,,1.5,,2.4,1,Laser Range Finder,2.1,15,
