"plot_plot_id","lf_start_time_collection","lf_start_time_collection_hour","lf_start_time_collection_minute","lf_id","lf_details_lf_status","lf_details_lf_status_label","lf_details_lf_size","lf_details_lf_size_label","lf_details_lf_owner","lf_details_lf_owner_qualifier","lf_details_lf_owner_label","lf_details_land_legal","lf_details_land_legal_label","lf_details_lf_serv[1]","lf_details_lf_serv_qualifier[1]","lf_details_lf_serv_label[1]","lf_details_lf_serv[2]","lf_details_lf_serv_qualifier[2]","lf_details_lf_serv_label[2]","lf_details_lf_serv[3]","lf_details_lf_serv_qualifier[3]","lf_details_lf_serv_label[3]","lf_details_lf_serv[4]","lf_details_lf_serv_qualifier[4]","lf_details_lf_serv_label[4]","lf_details_lf_serv[5]","lf_details_lf_serv_qualifier[5]","lf_details_lf_serv_label[5]","lf_details_cover_min","lf_details_cover_max","nlcl","nlcl_label","lf_notes","lfo_count"
"946","14:50","14","50","1","1","Center subplot","2","> 0.5 ha","2","","Forest Department","1","Reserved Forest","1","","Fruits, nuts, seeds, roots, berries, etc","","","","","","","","","","","","","10.0","20.0","FEh","Hilly Forest (Mixed & Evergreen)","","3.0"
"946","14:5","14","5","2","5","West subplot","1","< 0.5 ha","2","","Forest Department","1","Reserved Forest","0","","None observed","","","","","","","","","","","","","0.0","0.0","FEh","Hilly Forest (Mixed & Evergreen)","","3.0"
"310","10:59","10","59","1","1","Center subplot","2","> 0.5 ha","2","","Forest Department","1","Reserved Forest","1","","Fruits, nuts, seeds, roots, berries, etc","6","","Wildlife","","","","","","","","","","10.0","20.0","FEh","Hilly Forest (Mixed & Evergreen)","","2.0"
"234","9:53","9","53","1","1","Center subplot","1","< 0.5 ha","1","","Private","","","0","","None observed","","","","","","","","","","","","","20.0","30.0","FPd","Forest Plantation (Deciduous)","Private farm house","5.0"
"234","10:4","10","4","2","2","North subplot","2","> 0.5 ha","1","","Private","","","0","","None observed","","","","","","","","","","","","","80.0","90.0","FPd","Forest Plantation (Deciduous)","Hilly plantation of private property","5.0"
"945","10:46","10","46","1","1","Center subplot","2","> 0.5 ha","2","","Forest Department","1","Reserved Forest","6","","Wildlife","1","","Fruits, nuts, seeds, roots, berries, etc","4","","Plant medicines","","","","","","","40.0","55.0","FEh","Hilly Forest (Mixed & Evergreen)","","3.0"
"309","10:8","10","8","1","1","Center subplot","2","> 0.5 ha","2","","Forest Department","1","Reserved Forest","1","","Fruits, nuts, seeds, roots, berries, etc","6","","Wildlife","","","","","","","","","","10.0","20.0","FEh","Hilly Forest (Mixed & Evergreen)","","2.0"
"273","10:38","10","38","1","1","Center subplot","2","> 0.5 ha","1","","Private","","","0","","None observed","","","","","","","","","","","","","0.0","0.0","PCs","Single Crop","Paddy field. No tree found within 200 metre from the centre sub plot","1.0"
"1711","10:8","10","8","1","1","Center subplot","2","> 0.5 ha","1","","Private","","","1","","Fruits, nuts, seeds, roots, berries, etc","8","","Windbreak","","","","","","","","","","0.0","0.0","PCm","Multiple Crop","(Chili, Potato, Orion present <FM>)","1.0"
"1710","1:21","1","21","1","1","Center subplot","2","> 0.5 ha","1","","Private","","","1","","Fruits, nuts, seeds, roots, berries, etc","8","","Windbreak","","","","","","","","","","0.0","0.0","PCm","Multiple Crop","","1.0"
