ID_EF,EmissionFactor,ID_LandCover,ID_Species,AgeRange,ID_AgeRange,HeightRange,ID_HeightRange,VolumeRange,ID_VolumeRange,BasalRange,ID_BasalArea,Value,Unit,ID_EF_IPCC,Reference,Lower_Confidence_Limit,Upper_Confidence_Limit,Type_of_Parameter,latitude,longitude,Country,Division,District,Upazila,Union,FAO_biome,WWF_Eco_zone,BFI_zone
1,Aboveground Biomass Stock,6,7,1-10,1,0-10,1,0-100,1,0-20,1,0.01,tonnes C/ha (274),3,8,Unknown,Unknown,Measured (1),0,0,Bangladesh,61,0,,,99,24,6
2,Aboveground Biomass Stock,6,7,1-10,1,0-10,1,0-100,1,0-20,1,0.03,tonnes C/ha (274),3,8,Unknown,Unknown,Measured (1),0,0,Bangladesh,61,0,,,99,24,6
3,Aboveground Biomass Stock,6,7,1-10,1,0-10,1,0-100,1,0-20,1,0.1,tonnes C/ha (274),3,8,Unknown,Unknown,Measured (1),0,0,Bangladesh,61,0,,,99,24,6
4,Annual Average Volume Increment,6,7,1-10,1,0-10,1,0-100,1,0-20,1,0.2,m3/ha/year (359),2,8,Unknown,Unknown,Measured (1),0,0,Bangladesh,61,0,,,99,24,6
5,Aboveground Biomass Stock,6,7,1-10,1,0-10,1,0-100,1,0-20,1,2.09,tonnes C/ha (274),3,8,Unknown,Unknown,Measured (1),0,0,Bangladesh,61,0,,,99,24,6
6,Annual Average Volume Increment,6,7,1-10,1,0-10,1,0-100,1,0-20,1,0.3,m3/ha/year (359),2,10,Unknown,Unknown,Modeled (2),24.272724,89.9211,Bangladesh,30,3093,,,12,17,5
7,Aboveground Biomass Stock,6,7,1-10,1,0-10,1,0-100,1,0-20,1,0.28,tonnes C/ha (274),3,8,Unknown,Unknown,Measured (1),0,0,Bangladesh,61,0,,,99,24,6
8,Annual Average Volume Increment,6,7,1-10,1,0-10,1,0-100,1,0-20,1,3,m3/ha/year (359),2,10,Unknown,Unknown,Modeled (2),24.272724,89.9211,Bangladesh,30,3093,,,12,17,5
9,Annual Average Volume Increment,6,7,1-10,1,0-10,1,0-100,1,0-20,1,0.3,m3/ha/year (359),2,8,Unknown,Unknown,Measured (1),0,0,Bangladesh,61,0,,,99,24,6
10,Aboveground Biomass Stock,6,7,1-10,1,0-10,1,0-100,1,0-20,1,0.79,tonnes C/ha (274),3,8,Unknown,Unknown,Measured (1),0,0,Bangladesh,61,0,,,99,24,6
11,Annual Average Volume Increment,6,7,1-10,1,0-10,1,0-100,1,0-20,1,1.27,m3/ha/year (359),2,8,Unknown,Unknown,Measured (1),0,0,Bangladesh,61,0,,,99,24,6
12,Aboveground Biomass Stock,6,7,1-10,1,0-10,1,0-100,1,0-20,1,11.59,tonnes C/ha (274),3,8,Unknown,Unknown,Measured (1),0,0,Bangladesh,61,0,,,99,24,6
13,Annual Average Volume Increment,6,7,1-10,1,0-10,1,0-100,1,0-20,1,0.4,m3/ha/year (359),2,8,Unknown,Unknown,Measured (1),0,0,Bangladesh,61,0,,,99,24,6
14,Aboveground Biomass Stock,6,7,1-10,1,0-10,1,0-100,1,0-20,1,3.52,tonnes C/ha (274),3,8,Unknown,Unknown,Measured (1),0,0,Bangladesh,61,0,,,99,24,6
15,Annual Average Volume Increment,6,7,1-10,1,0-10,1,0-100,1,0-20,1,27.4,m3/ha/year (359),2,10,Unknown,Unknown,Modeled (2),24.272724,89.9211,Bangladesh,30,3093,,,12,17,5
16,Annual Average Volume Increment,6,7,1-10,1,0-10,1,0-100,1,0-20,1,0.7,m3/ha/year (359),2,10,Unknown,Unknown,Modeled (2),24.272724,89.9211,Bangladesh,30,3093,,,12,17,5
17,Annual Average Volume Increment,6,7,1-10,1,0-10,1,0-100,1,0-20,1,3.15,m3/ha/year (359),2,8,Unknown,Unknown,Measured (1),0,0,Bangladesh,61,0,,,99,24,6
18,Aboveground Biomass Stock,6,7,1-10,1,0-10,1,0-100,1,0-20,1,27.28,tonnes C/ha (274),3,8,Unknown,Unknown,Measured (1),0,0,Bangladesh,61,0,,,99,24,6
19,Soil Carbon Stock,6,3,1-10,1,0-10,1,Unknown,9,Unknown,4,6.77,tonnes C/ha (274),4,3,Unknown,Unknown,Measured (1),22.53445,91.9225,Bangladesh,20,2015,,,11,17,5
