ID_Family,Family
0,Unknown
1,Actinidiaceae
2,Agavaceae
3,Alangiaceae
4,Anacardiaceae
5,Ancistrocladaceae
6,Angiopteridaceae
7,Annonaceae
8,Apocynaceae
9,Aquifoliaceae
10,Araliaceae
11,Araucariaceae
12,Arecaceae
13,Asclepiadaceae
14,Asteraceae
15,Bignoniaceae
16,Bixaceae
17,Bombacaceae
18,Boraginaceae
19,Burseraceae
20,Caesalpiniaceae
21,Capparaceae
22,Caprifoliaceae
23,Casuarinaceae
24,Celastraceae
25,Clusiaceae
26,Combretaceae
27,Cornaceae
28,Crypteroniaceae
29,Cupressaceae
30,Cyatheaceae
31,Cycadaceae
32,Datiscaceae
33,Dichapetalaceae
34,Dilleniaceae
35,Dipterocarpaceae
36,Ebenaceae
37,Elaeocarpaceae
38,Erythroxylaceae
39,Euphorbiaceae
40,Fabaceae
41,Fagaceae
42,Flacourtiaceae
43,Icacinaceae
44,Juglandaceae
45,Lamiaceae
46,Lauraceae
47,Lecythidaceae
48,Leeaceae
49,Leguminosae
50,Loganiaceae
51,Lythraceae
52,Magnoliaceae
53,Malpighiaceae
54,Malvaceae
55,Melastomataceae
56,Meliaceae
57,Mimosaceae
58,Moraceae
59,Moringaceae
60,Myricaceae
61,Myrsinaceae
62,Myrtaceae
63,Nyssaceae
64,Ochnaceae
65,Olacaceae
66,Oleaceae
67,Opiliaceae
69,Oxalidaceae
70,Pandanaceae
71,Pinaceae
72,Plumbaginaceae
73,Poaceae
74,Podocarpaceae
75,Polygalaceae
76,Proteaceae
77,Punicaceae
78,Rhamnaceae
79,Rhizophoraceae
80,Rosaceae
81,Rubiaceae
82,Rutaceae
83,Sabiaceae
84,Salicaceae
85,Santalaceae
86,Sapindaceae
87,Sapotaceae
88,Simaroubaceae
89,Sonneratiaceae
90,Staphyleaceae
91,Sterculiaceae
92,Strelitziaceae
93,Styracaceae
94,Symplocaceae
95,Tamaricaceae
96,Theaceae
97,Thymelaeaceae
98,Tiliaceae
99,Ulmaceae
100,Urticaceae
101,Verbenaceae
102,Violaceae
103,Acanthaceae
104,Achariaceae
105,Calophyllaceae
106,Phyllanthaceae
107,Tetramelaceae
108,Myristicaceae
9999,NA
