"ID_AE","ID_RD","Population","Tree_type","Vegetation_type","Country","Division","District","Upazila","Union","location_notes","Latitude","Longitude","BFI_zone","FAO_biome","WWF_Eco_zone","X","Unit_X","Z","Unit_Z","W","Unit_W","U","Unit_U","V","Unit_V","Mean_X","Min_X","Max_X","Mean_Z","Min_Z","Max_Z","Mean_W","Min_W","Max_W","Output","Output_TR","Unit_Y","Min_age","Max_age","Av_age","B","Bd","Bg","Bt","L","Rb","Rf","Rm","S","T","F","Family","Genus","Species","Subspecies","Species_local_name_latin","Species_local_name_iso","Equation","Sample_size","Top_dob","Top_girth_over_bark","Stump_height","Reference","Label","R2","R2_Adjusted","Corrected_for_bias","MSE","RMSE","SEY","SEE","AIC","FI","Bias_correction","Ratio_equation","Segmented_equation","Contributor","Operator","Remark","Contact","Verified"
1,"NA","Individual","Tree","Plantation","Bangladesh",,,,,"","0","0",6,99,3,"DBH","cm","NA","NA","NA","NA","NA","NA","NA","NA","NA","5","25","NA","NA","NA","NA","NA","NA","Green Biomass","Log","kg","NA","NA","NA","1","NA","1","1","1","NA","NA","NA","NA",1,"NA",49,376,1222,"NA","Minjiri","NA","Y = -1.5851 + 2.4855 * Log (X)",120,"NA","NA","0.1",101,1,0.9728,"NA","NA","0.0232","NA","NA","NA","NA","NA","NA","NA","NA","Khulna University","Mahmood Hossain","Conversion factor green biomass to oven dry biomass","mahmoodhossain@hotmail.com","verified"
2,"NA","Individual","Tree","Plantation","Bangladesh",,,,,"","0","0",6,99,3,"C","cm","NA","NA","NA","NA","NA","NA","NA","NA","NA","16","79","NA","NA","NA","NA","NA","NA","Green Biomass","Log","kg","NA","NA","NA","1","NA","1","1","1","NA","NA","NA","NA",1,"NA",49,376,1222,"NA","Minjiri","NA","Y = -4.4303 + 2.4855 * Log (X)",120,"NA","NA","0.1",101,1,0.9728,"NA","NA","0.0232","NA","NA","NA","NA","NA","NA","NA","NA","Khulna University","Mahmood Hossain","Conversion factor green biomass to oven dry biomass","mahmoodhossain@hotmail.com","verified"
3,"NA","Individual","Tree","Plantation","Bangladesh",,,,,"","0","0",6,99,3,"DBH","cm","H","m","NA","NA","NA","NA","NA","NA","NA","5","25","NA","6","18","NA","NA","NA","Green Biomass","Log","kg","NA","NA","NA","1","NA","1","1","1","NA","NA","NA","NA",1,"NA",49,376,1222,"NA","Minjiri","NA","Y = -2.0847 + 2.1723 * Log (X) + 0.5141 * Log (Z)",120,"NA","NA","0.1",101,1,0.9777,"NA","NA","0.0189","NA","NA","NA","NA","NA","NA","NA","NA","Khulna University","Mahmood Hossain","Conversion factor green biomass to oven dry biomass","mahmoodhossain@hotmail.com","verified"
4,"NA","Individual","Tree","Plantation","Bangladesh",,,,,"","0","0",6,99,3,"C","cm","H","m","NA","NA","NA","NA","NA","NA","NA","16","79","NA","6","18","NA","NA","NA","Green Biomass","Log","kg","NA","NA","NA","1","NA","1","1","1","NA","NA","NA","NA",1,"NA",49,376,1222,"NA","Minjiri","NA","Y = -4.5714 + 2.1723 * Log (X) + 0.5141 * Log (Z)",120,"NA","NA","0.1",101,1,0.9777,"NA","NA","0.0189","NA","NA","NA","NA","NA","NA","NA","NA","Khulna University","Mahmood Hossain","Conversion factor green biomass to oven dry biomass","mahmoodhossain@hotmail.com","verified"
5,"NA","Individual","Tree","Plantation","Bangladesh",,,,,"","0","0",6,99,3,"DBH","cm","NA","NA","NA","NA","NA","NA","NA","NA","NA","5","25","NA","NA","NA","NA","NA","NA","Green Biomass","Log","kg","NA","NA","NA","1","NA","NA","NA","NA","NA","NA","NA","NA",1,"NA",49,376,1222,"NA","Minjiri","NA","Y = -2.1442 + 2.5917 * Log (X)",120,"2","NA","0.1",101,1,0.9665,"NA","NA","0.0313","NA","NA","NA","NA","NA","NA","NA","NA","Khulna University","Mahmood Hossain","Conversion factor green biomass to oven dry biomass","mahmoodhossain@hotmail.com","verified"
6,"NA","Individual","Tree","Plantation","Bangladesh",,,,,"","0","0",6,99,3,"C","cm","NA","NA","NA","NA","NA","NA","NA","NA","NA","16","79","NA","NA","NA","NA","NA","NA","Green Biomass","Log","kg","NA","NA","NA","1","NA","NA","NA","NA","NA","NA","NA","NA",1,"NA",49,376,1222,"NA","Minjiri","NA","Y = -5.1110 + 2.5917 * Log (X)",120,"2","NA","0.1",101,1,0.9665,"NA","NA","0.0313","NA","NA","NA","NA","NA","NA","NA","NA","Khulna University","Mahmood Hossain","Conversion factor green biomass to oven dry biomass","mahmoodhossain@hotmail.com","verified"
7,"NA","Individual","Tree","Plantation","Bangladesh",,,,,"","0","0",6,99,3,"DBH","cm","H","m","NA","NA","NA","NA","NA","NA","NA","5","25","NA","6","18","NA","NA","NA","Green Biomass","Log","kg","NA","NA","NA","1","NA","NA","NA","NA","NA","NA","NA","NA",1,"NA",49,376,1222,"NA","Minjiri","NA","Y = -2.7095 + 2.2372 * Log (X) + 0.5817 * Log (Z)",120,"2","NA","0.1",101,1,0.9722,"NA","NA","0.0257","NA","NA","NA","NA","NA","NA","NA","NA","Khulna University","Mahmood Hossain","Conversion factor green biomass to oven dry biomass","mahmoodhossain@hotmail.com","verified"
8,"NA","Individual","Tree","Plantation","Bangladesh",,,,,"","0","0",6,99,3,"C","cm","H","m","NA","NA","NA","NA","NA","NA","NA","16","79","NA","6","18","NA","NA","NA","Green Biomass","Log","kg","NA","NA","NA","1","NA","NA","NA","NA","NA","NA","NA","NA",1,"NA",49,376,1222,"NA","Minjiri","NA","Y = -5.2705 + 2.2372 * Log (X) + 0.5817 * Log (Z)",120,"2","NA","0.1",101,1,0.9722,"NA","NA","0.0257","NA","NA","NA","NA","NA","NA","NA","NA","Khulna University","Mahmood Hossain","Conversion factor green biomass to oven dry biomass","mahmoodhossain@hotmail.com","verified"
9,"NA","Individual","Tree","Plantation","Bangladesh",,,,,"","0","0",6,99,3,"DBH","cm","NA","NA","NA","NA","NA","NA","NA","NA","NA","5","25","NA","NA","NA","NA","NA","NA","Green Biomass","Log","kg","NA","NA","NA","NA","NA","1","NA","NA","NA","NA","NA","NA",,"NA",49,376,1222,"NA","Minjiri","NA","Y = -2.2732 + 1.9752 * Log (X)",120,"NA","NA","0.1",101,1,0.5707,"NA","NA","0.3528","NA","NA","NA","NA","NA","NA","NA","NA","Khulna University","Mahmood Hossain","Conversion factor green biomass to oven dry biomass","mahmoodhossain@hotmail.com","verified"
10,"NA","Individual","Tree","Plantation","Bangladesh",,,,,"","0","0",6,99,3,"C","cm","NA","NA","NA","NA","NA","NA","NA","NA","NA","16","79","NA","NA","NA","NA","NA","NA","Green Biomass","Log","kg","NA","NA","NA","NA","NA","1","NA","NA","NA","NA","NA","NA",,"NA",49,376,1222,"NA","Minjiri","NA","Y = -4.5343 + 1.9752 * Log (X)",120,"NA","NA","0.1",101,1,0.5707,"NA","NA","0.3528","NA","NA","NA","NA","NA","NA","NA","NA","Khulna University","Mahmood Hossain","Conversion factor green biomass to oven dry biomass","mahmoodhossain@hotmail.com","verified"
