"ID_WD","Tree_type","Vegetation_type","Region","ID_Location_group","ID_Location","Group_Location","Location","Longitude","Latitude","Zone_FAO","Ecoregion_Udvardy","Ecoregion_WWF","Division_Bailey","Zone_Holdridge","ID_family","ID_genus","ID_species","Subspecies","Species_local_name_iso","ID_reference","ID_RD","H_tree_avg","H_tree_min","H_tree_max","DBH_tree_avg","DBH_tree_min","DBH_tree_max","m_WD","MC_m","V_WD","MC_V","CR","FSP","Methodology_Green","Methodology_Airdry","Bark","Methodology_Ovendry","Density_green","Density_airdry","Density_ovendry","MC_Density","Data_origin","Data_type","Samples_per_tree","Number_of_trees","SD","Min","Max","H_measure","Bark_distance","CV","Convert_BD","Contributor","Operator","Remark","Contact"
1,"Tree","NA","NA","NA","NA","NA","NA","0","0","NA","NA","NA","NA","NA",49,2,8,"NA","NA",49,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Direct measurement of the dimension of the specimen","NA","Water displacement method","NA",0.72,0.77,"NA","Biblio","Average","NA","NA","NA","NA","NA","NA","NA","NA","NA","Khulna University","Mahmood Hossain","Heavy wood","mahmoodhossain@hotmail.com"
2,"Tree","NA","NA","NA","NA","NA","NA","0","0","NA","NA","NA","NA","NA",49,2,3,"NA","NA",50,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Water displacement method","Direct measurement of the dimension of the specimen","NA","Water displacement method","0.61",0.65,0.7,"NA","Biblio","Average","54","NA","NA","NA","NA","NA","NA","NA","NA","Khulna University","Mahmood Hossain","Moderate heavy","mahmoodhossain@hotmail.com"
3,"Tree","NA","NA","NA","NA","NA","NA","0","0","NA","NA","NA","NA","NA",49,2,7,"NA","NA",50,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Water displacement method","Direct measurement of the dimension of the specimen","NA","Water displacement method","0.52",0.53,0.56,"NA","Biblio","Average","54","NA","NA","NA","NA","NA","NA","NA","NA","Khulna University","Mahmood Hossain","Moderate heavy","mahmoodhossain@hotmail.com"
4,"Tree","NA","NA","NA","NA","NA","NA","0","0","NA","NA","NA","NA","NA",49,2,8,"NA","NA",50,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Water displacement method","Direct measurement of the dimension of the specimen","NA","Water displacement method","0.63",0.69,0.73,"NA","Biblio","Average","54","NA","NA","NA","NA","NA","NA","NA","NA","Khulna University","Mahmood Hossain","Heavy","mahmoodhossain@hotmail.com"
5,"Tree","NA","NA","NA","NA","NA","NA","0","0","NA","NA","NA","NA","NA",81,199,716,"NA","NA",49,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Direct measurement of the dimension of the specimen","NA","Water displacement method","NA",0.6,0.65,"NA","Biblio","Average","NA","NA","NA","NA","NA","NA","NA","NA","NA","Khulna University","Mahmood Hossain","Moderately heavy wood","mahmoodhossain@hotmail.com"
6,"Tree","NA","NA","NA","NA","NA","NA","0","0","NA","NA","NA","NA","NA",49,17,48,"NA","NA",50,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Water displacement method","Direct measurement of the dimension of the specimen","NA","Water displacement method","0.39",0.41,0.45,"NA","Biblio","Average","54","NA","NA","NA","NA","NA","NA","NA","NA","Khulna University","Mahmood Hossain","light","mahmoodhossain@hotmail.com"
7,"Tree","NA","NA","NA","NA","NA","NA","0","0","NA","NA","NA","NA","NA",49,17,53,"NA","NA",50,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Water displacement method","Direct measurement of the dimension of the specimen","NA","Water displacement method","0.67",0.69,0.73,"NA","Biblio","Average","54","NA","NA","NA","NA","NA","NA","NA","NA","Khulna University","Mahmood Hossain","Heavy","mahmoodhossain@hotmail.com"
8,"Tree","NA","NA","NA","NA","NA","NA","0","0","NA","NA","NA","NA","NA",49,17,48,"NA","NA",49,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Direct measurement of the dimension of the specimen","NA","Water displacement method","NA",0.42,0.44,"NA","Biblio","Average","NA","NA","NA","NA","NA","NA","NA","NA","NA","Khulna University","Mahmood Hossain","Light wood","mahmoodhossain@hotmail.com"
9,"Tree","NA","NA","NA","NA","NA","NA","0","0","NA","NA","NA","NA","NA",49,17,53,"NA","NA",49,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Direct measurement of the dimension of the specimen","NA","Water displacement method","NA",0.63,0.66,"NA","Biblio","Average","NA","NA","NA","NA","NA","NA","NA","NA","NA","Khulna University","Mahmood Hossain","Moderately heavy wood","mahmoodhossain@hotmail.com"
10,"Tree","NA","NA","NA","NA","NA","NA","0","0","NA","NA","NA","NA","NA",49,17,52,"NA","NA",49,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Direct measurement of the dimension of the specimen","NA","Water displacement method","NA",0.71,0.76,"NA","Biblio","Average","NA","NA","NA","NA","NA","NA","NA","NA","NA","Khulna University","Mahmood Hossain","Heavy wood","mahmoodhossain@hotmail.com"
11,"Tree","NA","NA","NA","NA","NA","NA","0","0","NA","NA","NA","NA","NA",8,24,73,"NA","NA",49,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Direct measurement of the dimension of the specimen","NA","Water displacement method","NA",0.29,0.31,"NA","Biblio","Average","NA","NA","NA","NA","NA","NA","NA","NA","NA","Khulna University","Mahmood Hossain","Light wood","mahmoodhossain@hotmail.com"
12,"Tree","NA","NA","NA","NA","NA","NA","0","0","NA","NA","NA","NA","NA",56,13,38,"NA","NA",49,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Direct measurement of the dimension of the specimen","NA","Water displacement method","NA",0.51,0.54,"NA","Biblio","Average","NA","NA","NA","NA","NA","NA","NA","NA","NA","Khulna University","Mahmood Hossain","Moderately heavy wood","mahmoodhossain@hotmail.com"
13,"Tree","NA","NA","NA","NA","NA","NA","0","0","NA","NA","NA","NA","NA",56,432,1431,"NA","NA",50,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Water displacement method","Direct measurement of the dimension of the specimen","NA","Water displacement method","0.48",0.51,0.54,"NA","Biblio","Average","54","NA","NA","NA","NA","NA","NA","NA","NA","Khulna University","Mahmood Hossain","Moderate heavy","mahmoodhossain@hotmail.com"
14,"Tree","NA","NA","NA","NA","NA","NA","0","0","NA","NA","NA","NA","NA",35,29,84,"NA","NA",49,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Direct measurement of the dimension of the specimen","NA","Water displacement method","NA",0.5,0.54,"NA","Biblio","Average","NA","NA","NA","NA","NA","NA","NA","NA","NA","Khulna University","Mahmood Hossain","Light wood","mahmoodhossain@hotmail.com"
15,"Tree","NA","NA","NA","NA","NA","NA","0","0","NA","NA","NA","NA","NA",26,31,90,"NA","NA",49,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Direct measurement of the dimension of the specimen","NA","Water displacement method","NA",0.86,0.95,"NA","Biblio","Average","NA","NA","NA","NA","NA","NA","NA","NA","NA","Khulna University","Mahmood Hossain","Very heavy wood","mahmoodhossain@hotmail.com"
16,"Tree","NA","NA","NA","NA","NA","NA","0","0","NA","NA","NA","NA","NA",26,31,90,"NA","NA",50,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Water displacement method","Direct measurement of the dimension of the specimen","NA","Water displacement method","0.79",0.83,0.92,"NA","Biblio","Average","54","NA","NA","NA","NA","NA","NA","NA","NA","Khulna University","Mahmood Hossain","Very heavy","mahmoodhossain@hotmail.com"
17,"Tree","NA","NA","NA","NA","NA","NA","0","0","NA","NA","NA","NA","NA",81,431,1425,"NA","NA",49,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Direct measurement of the dimension of the specimen","NA","Water displacement method","NA",0.38,0.4,"NA","Biblio","Average","NA","NA","NA","NA","NA","NA","NA","NA","NA","Khulna University","Mahmood Hossain","Light wood","mahmoodhossain@hotmail.com"
18,"Tree","NA","NA","NA","NA","NA","NA","0","0","NA","NA","NA","NA","NA",81,431,1425,"NA","NA",50,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Water displacement method","Direct measurement of the dimension of the specimen","NA","Water displacement method","0.43",0.44,0.47,"NA","Biblio","Average","54","NA","NA","NA","NA","NA","NA","NA","NA","Khulna University","Mahmood Hossain","light","mahmoodhossain@hotmail.com"
19,"Tree","NA","NA","NA","NA","NA","NA","0","0","NA","NA","NA","NA","NA",56,33,102,"NA","NA",49,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Direct measurement of the dimension of the specimen","NA","Water displacement method","NA",0.57,0.63,"NA","Biblio","Average","NA","NA","NA","NA","NA","NA","NA","NA","NA","Khulna University","Mahmood Hossain","Moderately heavy wood","mahmoodhossain@hotmail.com"
