MAJOR_AEZ,AEZ_NAME
1,Old Himalayan Piedmont Plain
2,Active Tista Floodplain
3,Tista Meander Floodplain
4,Karatoya-Bangali Floodplain
5,Lower Atrai Basin
6,Lower Purnabhaba Floodplain
7,Active Brahmaputra-Jamuna Floodplain
8,Young Brahmaputra and Jamuna Floodplains
9,Old Brahmaputra Floodplain
10,Active Ganges Floodplain
11,High Ganges River Floodplain
12,Low Ganges River Floodplain
13,Ganges Tidal Floodplain
14,Gopalganj-Khulna Bils
15,Arial Bil
16,Middle Meghna River Floodplain
17,Lower Meghna River Floodplain
18,Young Meghna Estuarine Floodplain
19,Old Meghna Estuarine Floodplain
20,Eastern Surma-Kusiyara Floodplain
21,Sylhet Basin
22,Northern and Eastern Piedmont Plains
23,Chittagong Coastal Plain
24,St. Martin's Coral Island
25,Level Barind Tract
26,High Barind Tract
27,North-Eastern Barind Tract
28,Madhupur Tract
29,Northern and Eastern Hills
30,Akhaura Terrace
31,Urban
32,Kaptai Lake
33,Waterbodies
34,Reserved Forest
35,Brown Hill Soils
36,Calcareous Brown Floodplain Soils
37,Calcareous Grey Floodplain Soils
38,Noncalcareous Aluvium
39,Noncalcareous Grey Floodplain Soils (non-saline)
40,Sundarbans
99,Unknown
