"botanical_id","species","author","synonyms","english_name","description","flowering_period","habit","distribution","uses"
"18","1202","Wall.","Saurauia thorelii auct. non Fin. & Gagnep., Saurau","","A large shrub or small tree, up to 10 m tall, young stem and branches covered with ferruginous-tomentose hairs, mixed with minute acute scales. Leaves simple, alternate, 10-15 Ã— 2-9 cm, elliptic, elliptic-oblong, oblanceolate, base acute or cuneate, acute or shortly acuminate at the apex, margin obtusely or finely serrulate, glabrous above, tomentose beneath. Flowers in axillary cymes, thinly tomentose. Sepals 5, free, ovate to ovate-rounded, glabrous. Petals 5, white or pink, ovate, connate at the base, rounded at the apex, glabrous. Stamens numerous. Ovary ovoid, glabrous, styles 5, rarely 6, 1-2 mm long, connate below. Fruit a berry, sub-globose, fleshy, whitish. Seeds numerous, minute, brown.","March-October","Evergreen forests, often along streams.","Bandarban, Rangamati, Khagrachari, Sylhet, Moulvib","Leaves  are used as fodder and the wood for house "
"19","44","(R. Br.) Baillon","Marlea barbata R. Br.","","A shrub or small tree, 3-6 m tall, branchlets with soft spreading hairs. Leaves simple, alternate, petiolate, elliptic or ovate-oblong, lobed or toothed. Inflorescence a many-flowered cyme, with spreading golden hairs. Flowers epigynous. Calyx tube shaggy, teeth lanceolate. Petals 5-6, hairy on the outer surface. Stamens with short filaments, filaments hairy. Carpels 1-3, united into an inferior ovary, style long, stigma subclavate, ovule 1 per locule. Fruit a berry, deeply grooved, 1-seeded, bluish when ripe. ","June-February","Deciduous forests","Chittagong Hill Tracts",""
"20","45","(Lour.) Harms","Stylidium chinense Lour., Marlea begonifolia Roxb.","Marlia","A small-sized deciduous tree with grey bark. Leaves simple, alternate, petiolate, ovate to ovate-cordate, pubescent on both surfaces. Inflorescence of axillary cymes. Flowers white, epigynous. Sepals 7-8, free or somewhat connate at the base. Petals 7-8, linear, free or connate at the base, narrow, valvate.  Stamens 7-8, slightly adnate at the base of the petals, anthers linear. Carpels 1-3, united into a 1-3 loculed ovary, ovule one in each locule, style long, stigma slightly lobed. Fruit a 1-2 seeded berry. Seeds oblong, compressed.","April-October","Plain lands and hill forests","Chittagong and Gazipur","Foliage used as fodder, timber is also sometimes u"
"21","46","(L. f.) Wangerin","Grewia salvifolia L. f., Alangium decapetalum Lamk","Sage-leaved Alangium","A small to medium-sized tree, branchlets adpressed-tomentose, sometimes spine-tipped. Leaves simple, 14.0 Ã— 2.5 cm, short petioled, oblong-lanceolate, sub-coriaceous, 3-5 nerved from the base. Inflorescence in axillary cymose clusters. Flowers c 1.5 cm wide, pedicellate, bisexual, epigynous, white, sweet-scented. Calyx of 5-10 sepals, connate at the base, forming a cupular tube, adnate to the ovary, tomentose, triangular-ovate. Corolla of 5-10 petals, petals 2.5 Ã— 0.2 cm, linear-oblong, reflexed after anthesis, disk prominent. Stamens usually twice as many as the petals or more, filaments 1 cm long, base villous, connate, anthers 1 cm long, opening by longitudinal slits. Ovary inferior, unilocular, ovule 1, pendulous, style long, stigma capitate. Fruit a 1-seeded berry, globose, red or black when ripe. Seed ovoid. ","February-May","Plains and deciduous forests","Dhaka and the adjoining areas and also in Chittago","The root is acrid, bitter, anthelmintic, alterativ"
"22","77","L.","","Cashew Nut","A small to medium-sized, glabrous, evergreen tree, with much spreading branches which form a large crown. Bark thick grey, rough and cracked. Leaves ovate, 12-18 cm long, glabrous, very thickly coriaceous, base round or blunt, obovate, margin entire, secondary veins 8-12 pairs, arching and very conspicuous on both the surfaces, petioles broad and thick, 0.5-1.5 mm long. Inflorescence terminal or axillary, panicles 7-20 cm long. Flowers polygamous, 1.5 mm across, pedicellate, fragrant. Sepals ovate, 4 Ã— 1 mm. Petals linear-lanceolate, 13 Ã— 2 mm. Stamens 7-10, 10 mm long, fertile, smaller ones 1 mm long. Carpels solitary, ovary 1-celled, ovule 1, style eccentric, stigma simple. Fruit a nut, kidney-shaped, about 2.5 cm long, seated on fleshy thick hypocarp, shell of the nut hard, ash-coloured, greenish or shining brown, fleshy hypocarp becomes yellow or pinkish-green when ripe. ","February-June","Forests and hilly regions.","Cultivated throughout the country","The roasted kernel is edible. Beverage can be prod"
"23","199","(Roxb.) Meissner","Mangifera oppositifolia Roxb., Bouea burmanica Gri","Burmese Plum, Marian Plum","An evergreen tree, up to 30 m tall, young shoots minutely hairy. Leaves 6-20 Ã— 2-6 cm, stipulate, lanceolate or elliptic-lanceolate, entire, apex acuminate, base cuneate, coriaceous, glabrous, lateral veins distinct on both surfaces, petioles 1.0-2.5 cm long. Inflorescence 4-10 cm long, puberulous. Flowers bisexual, 0.3 cm across, pedicellate, pale yellow. Sepals 4-lobed, lobes ovate-oblong, 0.7 Ã— 0.5 mm. Petals 4, oblong, 2.0 Ã— 0.6 mm, keeled on ventral surface. Stamens 4, 0.8 mm long, filaments short, anthers sagittate, mucronate at the apex. Disc 4-lobed, 1 mm in diameter. Carpel 1 mm long, ovary conical, style short, indistinguishable, stigma obscurely and unequally 3-lobed. Fruit a drupe, ovoid, 2-3 Ã— 1.5-2.0 cm, obliquely compressed, glabrous. ","December-April.","Evergreen rain forests","Chittagong and Cox's Bazar districts, and the Chit","Fruits are eaten both fresh and in curry, taste st"
"24","227","Roxb.","","Cheerojee-oil Plant","A small to moderate-sized tree. Leaves 16-20 cm long, elliptic-oblong, lanceolate, entire, thinly coriaceous, narrow, glabrous, apex shortly acuminate, petioles 2.2-3.7 cm long. Inflorescence terminal, puberulous. Flowers 1 mm across, pedicels 1 mm long, pubescent. Calyx lobes ovate. Petals 1 Ã— 1 mm, oblong, reflexed. Stamens 8, 1 mm long, filaments subulate, anthers sagittate. Disc 1 mm in diameter, 8-crenated. Ovary 1 mm long, hairy at the base. Fruit a drupe, obliquely oblong, compressed. ","December-June","Evergreen forest areas","Chittagong","he tender fruits are eaten locally in curries."
"25","228","Spreng.","Buchanania latifolia Roxb.","Cuddapah-almond","A medium-sized to large evergreen tree, nearly leafless for a short period during winter, young parts pubescent. Bark dark grey to blackish, blaze reddish. Leaves simple, oblong or elliptic-oblong, 4-19 Ã— 2-10 cm, obtuse, entire, leathery, softly pubescent beneath when young, secondary veins 15-20 pairs, prominent, petioles 1.5-2.0 cm long. Inflorescence terminal, 6-20 cm long, tomentose. Flowers small, greenish-white, sessile or on short, thick, pubescent pedicels, clustered in several branched tomentose panicles at the end of branchlets. Calyx lobes ovate, pubescent. Petals 3 Ã— 2 mm, elliptic, pubescent. Stamens 10, c 1 mm long.  Disc 1 mm in diameter, deeply 10-crenated. Ovary conical, 1 mm long, style subulate, stigma simple. Fruit a drupe, seated on a persistent enlarged calyx, smooth, purplish-black when ripe, about 1.2 cm in diameter, ovoid-reniform, slightly compressed, 1-seeded, endocarp hard, bony. 
","January-May.","Dry forest areas.","Cox's Bazar district, and the Chittagong Hill Trac","The pulp of the fruit is edible, the kernel of see"
"26","494","Hook.f.","Holigarna racemosa Roxb.","","A tree, up to 24 m tall, branchlets glabrous. Leaves petiolate, petioles 1.2-1.7 cm long, 
lamina 12-27 Ã— 3-7 cm, lanceolate or oblanceolate, abruptly acuminate, base cuneate, margin entire, coriaceous, puberulous beneath, nerves 20-30 pairs, strongly arched, midrib above rather broad. Inflorescence 4-19 cm long, racemes branched in axillary fascicles, shorter than the leaves, pubescent or glabrate. Flowers unisexual. Male flowers 1 mm across, calyx lobes ovate, puberulous, petals over 1 Ã— 1 mm, oblong, glabrous, stamens 1 mm long, disc 1 mm in diameter. Female flowers 3 mm in diameter, sepals and petals as in male flowers, ovary 1.5 mm in diameter, ovoid, style terminal, short, stigma obscurely 3-lobed. Fruit a drupe, transversely oblong or ovoid, 1.5-2.0 Ã— 2.5 cm, yellowish-red, epicarp puberulous. ","September-April","Evergreen hill forests","Cox's Bazar, Chittagong, Sylhet districts, and the","The wood takes good polish. It is used for making "
"27","680","(Wall.) Hook.f.","Syndesmis elegans Wall.","","A tall, glabrous, evergreen tree. Leaves simple, alternate, usually crowded at the end of the branchlets, oblong-lanceolate, 7-15 cm long, tapering in both ends, bluntly acuminate, thinly coriaceous, lateral veins 8-12 pairs, arched, venation prominent on the lower surface, petioles  slender, usually 1.5-4.0 cm long. Flowers small, slender, glabrous, arranged in corymbs at the ends of branchlets or in the axil of upper leaves. Calyx tubular, membranous, scarlet, split, 2-toothed. Petals linear-lanceolate, disk elongate. Stamens 4-5, as long as the petals. Fruit a drupe, c 1.8 cm long, oval or rounded, surrounding at the base by leathery round enlarged calyx, smooth, shiny, green with white dots, testa connate with the endocarp and with black resinous juice. ","Throughout the year","Lowland forests.","Chittagong, Cox's Bazar districts, and the Chittag","Wood is good for furniture and when steeped in fer"
