"District","DIVISION","ID_District"
"Bagerhat","40","4001"
"Bandarban","20","2003"
"Barguna","10","1004"
"Barisal","10","1006"
"Bhola","10","1009"
"Bogra","50","5010"
"Brahamanbaria","20","2012"
"Ch. Nawabganj","50","5070"
"Chandpur","20","2013"
"Chittagong","20","2015"
"Chuadanga","40","4018"
"Comilla","20","2019"
"Cox'S Bazar","20","2022"
"Dhaka","30","3026"
"Dinajpur","55","5527"
"Faridpur","30","3029"
"Feni","20","2030"
"Gaibandha","55","5532"
"Gazipur","30","3033"
"Gopalganj","30","3035"
"Habiganj","60","6036"
"Jamalpur","35","3539"
"Jessore","40","4041"
"Jhalokati","10","1042"
"Jhenaidah","40","4044"
"Joypurhat","50","5038"
"Khagrachhari","20","2046"
"Khulna","40","4047"
"Kishoreganj","30","3048"
"Kurigram","55","5549"
"Kushtia","40","4050"
"Lakshmipur","20","2051"
"Lalmonirhat","55","5552"
"Madaripur","30","3054"
"Magura","40","4055"
"Manikganj","30","3056"
"Maulvibazar","60","6058"
"Meherpur","40","4057"
"Munshiganj","30","3059"
"Mymensingh","35","3561"
"Naogaon","50","5064"
"Narail","40","4065"
"Narayanganj","30","3067"
"Narsingdi","30","3068"
"Natore","50","5069"
"Netrakona","35","3572"
"Nilphamari","55","5573"
"Noakhali","20","2075"
"Pabna","50","5076"
"Panchagarh","55","5577"
"Patuakhali","10","1078"
"Pirojpur","10","1079"
"Rajbari","30","3082"
"Rajshahi","50","5081"
"Rangamati","20","2084"
"Rangpur","55","5585"
"Satkhira","40","4087"
"Shariatpur","30","3086"
"Sherpur","35","3589"
"Sirajganj","50","5088"
"Sunamganj","60","6090"
"Sylhet","60","6091"
"Tangail","30","3093"
"Thakurgaon","55","5594"
"Unknown","99","9999"
