"ID_EF","EmissionFactor","ID_LandCover","Species","Age_yr","Height_m","Volume_m3_ha","Basal_m2_ha","Value","Unit","ID_EF_IPCC","Reference","Lower_Confidence_Limit","Upper_Confidence_Limit","Type_of_Parameter","group_location","Contributor"
6,"Annual Average Volume Increment",6,7,"NA","NA","NA","NA",0.3,"m3/ha/year",2,10,"NA","NA","Modeled (2)",33,"2"
8,"Annual Average Volume Increment",6,7,"1","2.5","3","0",3,"m3/ha/year",2,10,"NA","NA","Modeled (2)",27,"2"
15,"Annual Average Volume Increment",6,7,"1","3","27.4","0",27.4,"m3/ha/year",2,10,"NA","NA","Modeled (2)",27,"2"
16,"Annual Average Volume Increment",6,7,"2","3.1","1.4","0",0.7,"m3/ha/year",2,10,"NA","NA","Modeled (2)",33,"2"
19,"Soil Carbon Stock",6,3,"6","3.6","NA","NA",6.77,"tonnes C/ha",4,3,"NA","NA","Measured (1)",28,"2"
26,"Annual Average Volume Increment",6,7,"3","4.4","10","0.4",3.33,"m3/ha/year",2,10,"NA","NA","Modeled (2)",27,"2"
27,"Annual Average Volume Increment",6,7,"2","4.7","4.3","0",2.15,"m3/ha/year",2,10,"NA","NA","Modeled (2)",27,"2"
32,"Annual Average Volume Increment",6,7,"4","5.2","26.5","1.6",6.63,"m3/ha/year",2,10,"NA","NA","Modeled (2)",27,"2"
37,"Annual Average Volume Increment",6,7,"5","5.7","47.5","3.8",9.5,"m3/ha/year",2,10,"NA","NA","Modeled (2)",27,"2"
44,"Annual Average Volume Increment",6,7,"6","6","70.2","6.9",11.7,"m3/ha/year",2,10,"NA","NA","Modeled (2)",27,"2"
47,"Annual Average Volume Increment",6,7,"7","6.2","92.7","10.5",13.24,"m3/ha/year",2,10,"NA","NA","Modeled (2)",27,"2"
48,"Annual Average Volume Increment",6,7,"2","6.3","12.9","0.1",6.45,"m3/ha/year",2,10,"NA","NA","Modeled (2)",27,"2"
49,"Annual Average Volume Increment",6,7,"8","6.4","114.2","14.4",14.28,"m3/ha/year",2,10,"NA","NA","Modeled (2)",27,"2"
54,"Aboveground Biomass Stock",6,80,"NA","6.54","5.8","0.89",254,"tonnes C/ha",3,1,"NA","NA","Measured (1)",37,"2"
55,"Belowground Biomass Stock",6,80,"NA","6.54","5.8","0.89",42,"tonnes C/ha",2,1,"NA","NA","Measured (1)",37,"2"
56,"Aboveground Biomass Carbon Stock",6,80,"NA","6.54","5.8","0.89",97,"tonnes C/ha",3,1,"NA","NA","Measured (1)",37,"2"
57,"Belowground Biomass Carbon Stock",6,80,"NA","6.54","5.8","0.89",38,"tonnes C/ha",2,1,"NA","NA","Measured (1)",37,"2"
58,"Annual Average Volume Increment",6,7,"9","6.6","134.3","18.5",14.92,"m3/ha/year",2,10,"NA","NA","Modeled (2)",27,"2"
59,"Annual Average Volume Increment",6,7,"3","6.6","20.8","0.7",6.93,"m3/ha/year",2,10,"NA","NA","Modeled (2)",27,"2"
60,"Annual Average Volume Increment",6,7,"10","6.7","153","22.5",15.3,"m3/ha/year",2,10,"NA","NA","Modeled (2)",27,"2"
61,"Annual Average Volume Increment",6,7,"11","6.8","170.2","26.4",15.47,"m3/ha/year",2,10,"NA","NA","Modeled (2)",27,"2"
64,"Annual Average Volume Increment",6,7,"12","6.9","185.9","30.2",15.49,"m3/ha/year",2,10,"NA","NA","Modeled (2)",27,"2"
73,"Annual Average Volume Increment",6,7,"4","7.8","45.9","2.5",11.48,"m3/ha/year",2,10,"NA","NA","Modeled (2)",27,"2"
74,"Annual Average Volume Increment",6,7,"2","7.8","38.7","0.3",19.35,"m3/ha/year",2,10,"NA","NA","Modeled (2)",27,"2"
75,"Annual Average Volume Increment",6,7,"5","8.5","73.8","5.5",14.76,"m3/ha/year",2,10,"NA","NA","Modeled (2)",27,"2"
78,"Annual Average Volume Increment",6,7,"3","8.8","43.4","1.2",14.47,"m3/ha/year",2,10,"NA","NA","Modeled (2)",27,"2"
83,"Aboveground Biomass Stock",6,759,"NA","8.83","25.3","1.16",129,"tonnes C/ha",3,1,"NA","NA","Measured (1)",37,"2"
84,"Belowground Biomass Stock",6,759,"NA","8.83","25.3","1.16",25,"tonnes C/ha",2,1,"NA","NA","Measured (1)",37,"2"
85,"Aboveground Biomass Carbon Stock",6,759,"NA","8.83","25.3","1.16",82,"tonnes C/ha",3,1,"NA","NA","Measured (1)",37,"2"
86,"Belowground Biomass Carbon Stock",6,759,"NA","8.83","25.3","1.16",11,"tonnes C/ha",2,1,"NA","NA","Measured (1)",37,"2"
87,"Aboveground Biomass Carbon Stock",3,1079,"NA","8.93","NA","NA",0.59,"tonnes C/ha",3,6,"NA","NA","Measured (1)",99,"2"
88,"Aboveground Biomass Stock",6,38,"NA","8.98","0.2","0.41",187,"tonnes C/ha",3,1,"NA","NA","Measured (1)",37,"2"
89,"Belowground Biomass Stock",6,38,"NA","8.98","0.2","0.41",28,"tonnes C/ha",2,1,"NA","NA","Measured (1)",37,"2"
90,"Aboveground Biomass Carbon Stock",6,38,"NA","8.98","0.2","0.41",99,"tonnes C/ha",3,1,"NA","NA","Measured (1)",38,"2"
91,"Belowground Biomass Carbon Stock",6,38,"NA","8.98","0.2","0.41",25,"tonnes C/ha",2,1,"NA","NA","Measured (1)",37,"2"
92,"Annual Average Volume Increment",6,7,"6","9","101.3","9.4",16.88,"m3/ha/year",2,10,"NA","NA","Modeled (2)",27,"2"
95,"Annual Average Volume Increment",6,7,"7","9.4","126.9","13.6",18.13,"m3/ha/year",2,10,"NA","NA","Modeled (2)",27,"2"
96,"Annual Average Volume Increment",6,7,"2","9.4","116.3","0.7",58.15,"m3/ha/year",2,10,"NA","NA","Modeled (2)",27,"2"
99,"Aboveground Biomass Stock",6,1302,"NA","9.5","5.5","0.58",89,"tonnes C/ha",3,1,"NA","NA","Measured (1)",38,"2"
