"ID_Reference","Reference","Author","Year","Title","Journal","Volume","Issue","Page","URL","PDF_label"
1,"Akter, S., M. Rahman and M. Al-Amin (2013). Chittagong university campus: Rich in forest growing stock of valuable timber tree species in Bangladesh. Journal of Forest and Environmental Science 29(2): 157-164.","Akter, S., M. Rahman, M. Al-Amin","2013","Chittagong university campus: Rich in forest growing stock of valuable timber tree species in Bangladesh","Journal of Forest and Environmental Science",29,2,"157-164","http://www.koreascience.or.kr/article/ArticleFullRecord.jsp?cn=SRGHBV_2013_v29n2_157","1476"
2,"Alamgir, M. and M. Al-Amin (2007). Organic carbon storage in trees within different Geopositions of Chittagong (South) Forest Division, Bangladesh. Journal of Forestry Research 18(3): 174-180.","Alamgir, M. and M. Al-Amin","2007","Organic carbon storage in trees within different Geopositions of Chittagong (South) Forest Division, Bangladesh","Journal of Forestry Research",18,3,"174-180","http://link.springer.com/article/10.1007/s11676-007-0036-6","1477"
3,"Barua, S. and S. Haque (2013). Soil characteristics and carbon sequestration potentials of vegetation in degraded hills of Chittagong, Bangladesh. Land degradation & development 24(1): 63-71.","Barua, S. and S. Haque","2013","Soil characteristics and carbon sequestration potentials of vegetation in degraded hills of Chittagong, Bangladesh","Land degradation & development",24,1,"63-71","http://onlinelibrary.wiley.com/doi/10.1002/ldr.1107/abstract","1485"
4,"Chowdhury, M. Q., S. K. Sarker, J. C. Deb and S. S. Sonet (2013). Timber species grouping in Bangladesh: linking wood properties. Wood Science and Technology 47(4): 797-813.","Chowdhury, M. Q., S. K. Sarker, J. C. Deb and S. S. Sonet","2013","Timber species grouping in Bangladesh: linking wood properties","Wood Science and Technology",47,4,"797-813","http://link.springer.com/article/10.1007/s00226-013-0532-0","1486"
5,"Costello, L. Sola, G., Aziz, T., Akhtar, M., Poultouchidou, A. (2016). Harmonization of forest inventory data in Bangladesh and calculation of emission factors for REDD+. Dhaka, Bangladesh., FAO BAngladesh. ","Costello, L. S., G., Aziz, T., Akhtar, M., Poultouchidou, A.","2016","Harmonization of forest inventory data in Bangladesh and calculation of emission factors for REDD+","",,,"","","1496"
6,"Dey, A. I., Mahmuda, M., and Kaji, M. (2014). Above Ground Carbon Stock Through Palm Tree in the Homegarden of Sylhet City in Bangladesh. Journal of Forest and Environmental Science 30(3): 293-300.","Dey, A. I., Mahmuda, M., and Kaji, M.","2014","Above Ground Carbon Stock Through Palm Tree in the Homegarden of Sylhet City in Bangladesh","Journal of Forest and Environmental Science",30,3,"293-300","http://www.jofs.or.kr/journal/view.html?uid=550&start=370&sort=&scale=&key=&oper=&key_word=&year1=&year2=&Vol=&Num=ueckrxhbbaz&PG=&book=&mod=&sflag=&sub_box=&aut_box=&sos_box=&pub_box=&key_box=&abs_box=&year=","1410"
7,"Hossain, M. S., Hasan, M.R.; Bose, A., Limon, S. H., Chowdhury, M. R. K. and Saha, S. (2012). Allometry, above-ground biomass and nutrient distribution in Ceriops decandra (Griffith) Ding Hou dominated forest types of the Sundarbans mangrove forest, Bangladesh. Wetlands Ecology and Management 20(6): 539-548.","Hossain, M. S., Hasan, M.R.; Bose, A., Limon, S. H., Chowdhury, M. R. K. and Saha, S.","2012","Allometry, above-ground biomass and nutrient distribution in Ceriops decandra (Griffith) Ding Hou dominated forest types of the Sundarbans mangrove forest, Bangladesh","Wetlands Ecology and Management",20,6,"539-548","http://link.springer.com/article/10.1007%2Fs11273-012-9274-2","1407"
8,"Latif, M. A. D., S., Rahman, M. F. and Habib, M. A. (1995). Growth and yield tables for acacia mangium grown in the plantation in Bangladesh. Journal of Tropical Forest Science 7(4): 591-598.","Latif, M. A. D., S., Rahman, M. F. and Habib, M. A.","1995","Growth and yield tables for Acacia mangium grown in the plantations in Bangladesh","Journal of Tropical Forest Science",7,4,"591-598","http://www.jstor.org/stable/43582458?seq=1#page_scan_tab_contents","1408"
9,"Miah, M. A. Q. I., Ahiul, S, Habib, M. A. and Moula, M. G. (2014). Growth performance of Avicennia officinalis L. and the effect of spacing on growth and yield of trees planted in the Western coastal belt of Bangladesh. Journal of Forestry Research 25(4):835-838.","Miah, M. A. Q. I., Ahiul, S, Habib, M. A. and Moula, M. G.","2014","Growth performance of Avicennia officinalis L and the effect of spacing on growth and yield of trees planted in the Western coastal belt of Bangladesh","Journal of Forestry Research",25,4,"835-838","http://link.springer.com/article/10.1007%2Fs11676-014-0531-5","1401"
10,"Newaz, M. S., Millat-E-Mustafa, M. (2004). Growth and yield prediction models for Acacia mangium grown in the plantations of the central region of Bangladesh. New Forests 27(1): 81-88.","Newaz, M. S., Millat-E-Mustafa, M. ","2004","Growth and yield prediction models for Acacia mangium grown in the plantations of the central region of Bangladesh","New Forests",27,1,"81-88","http://link.springer.com/article/10.1023%2FA%3A1025086920175","1403"
11,"Rahman, M. M., Khan, M. N. I., Hoque, A. K. F., Ahmed, I. (2015). Carbon stock in the Sundarbans mangrove forest: spatial variations in vegetation types and salinity zones. Wetlands Ecology and Management 23(2): 269-283.","Rahman, M. M., Khan, M. N. I., Hoque, A. K. F., Ahmed, I.","2015","Carbon stock in the Sundarbans mangrove forest: spatial variations in vegetation types and salinity zones","Wetlands Ecology and Management",23,2,"269-283","http://link.springer.com/article/10.1007/s11273-014-9379-x","1409"
12,"Rahman, M. S., Akter, S. and Al-Amin, M. (2015). Forest and agro-ecosystem productivity in Bangladesh: A climate vegetation productivity approach. Forest Science and Technology 11(3): 126-132.","Rahman, M. S., Akter, S. and Al-Amin, M. ","2015","Forest and agro-ecosystem productivity in Bangladesh: A climate vegetation productivity approach","Forest Science and Technology",11,3,"126-132","http://www.tandfonline.com/doi/abs/10.1080/21580103.2014.957358","1478"
13,"Sohel, M. S. I., Alamgir, M., Akhter, S. and Rahman, M. (2015). Carbon storage in a bamboo (Bambusa vulgaris) plantation in the degraded tropical forests: Implications for policy development. Land Use Policy 49: 142-151.","Sohel, M. S. I., Alamgir, M., Akhter, S. and Rahman, M.","2015","Carbon storage in a bamboo (Bambusa vulgaris) plantation in the degraded tropical forests: Implications for policy development","Land Use Policy",49,,"142-151","http://www.sciencedirect.com/science/article/pii/S0264837715002203","1404"
14,"Ullah, M.R. and Al-Amin, M. (2012). Above- and below-ground carbon stock estimation in a natural forest of Bangladesh. Journal of Forest Science (Prague) 58(8): 372-379.","Ullah, M. R. and Al-Amin, M.","2012","Above- and below-ground carbon stock estimation in a natural forest of Bangladesh","Journal of Forest Science (Prague)",58,8,"372-379","https://www.cabdirect.org/cabdirect/abstract/20123340321","1402"
15,"Ullah, M.R. (2014). Developing allometric models for carbon stock estimation ineighteen year old plantation forests of Bangladesh. J. Microbiol. Pathol. 1, 006.","Ullah, MR","2014","Developing Allometric Models for Carbon Stock Estimation in Eighteen Year Old Plantation Forests of Bangladesh","J J Microbiol Pathol",,6,"","http://www.jacobspublishers.com/index.php/j-j-microbiol-pathol-1-1-006","1405"
16,"Yong Shin, M. M., Danesh M. and Lee, K. H. (2007). Potential contribution of the forestry sector in Bangladesh to carbon sequestration. Journal of environmental management 82(2): 260-276.","Yong Shin, M. M., Danesh M.; Lee, Kyeong Hak","2007","Potential contribution of the forestry sector in Bangladesh to carbon sequestration","Journal of environmental management",82,2,"260-276","http://europepmc.org/abstract/med/16630685","1406"
49,"Sattar, M.A. (1981). Some physical properties of 116 Bangladeshi timbers. Bulletin 7, Wood seasoning series, Forest Research Institute, Chittagong Bangladesh.","Sattar, MA","1981","Some physical properties of 116 Bangladeshi timbers","Bulletin 7, Wood seasoning series, Forest Research Institute, Chittagong Bangladesh",,,"","",""
50,"Sattar, M.A., Bhattacharjee D.K., Kabir, M.F. (1999). Physical and mechanical properties and uses of timbers of Bangladesh. Bangladesh Forest Research Institute, Chittagong, Bangladesh.","Sattar MA, Bhattacharjee DK, Kabir MF","1999","Physical and mechanical properties and uses of timbers of Bangladesh","Bangladesh Forest Research Institute, Chittagong, Bangladesh",,,"","",""
101,"Latif, M.A. and Habib, M.A. (1994). Biomass tables for minjiri (Cassia Siamea Lam.) grown in the plantations in Bangladesh. Bangladesh Journal of Forest Science 23(1):59-64","Latif, M.A. and Habib, M.A.","1994","Biomass tables for minjiri (Cassia Siamea Lam.) grown in the plantations in Bangladesh.","Bangladesh Journal of Forest Science",23,1,"59-64","","1"
102,"Rahman, M.F., Das, S., Reza, N.A., Chowdhury, J.A. and Latif, M.A. (1994). Tree volume table for Keora (Sonneratia apetala Buch.-Ham) in the coastal plantation of Bangladesh. In: Latif, M.A. (ed.), Tree volume table for keora (Sonneratia apetala) and Baen (Avicennia officinalis) in the coastal plantation of Banglaesh. Bulletin 8","Rahman, M.F., Das, S., Reza, N.A., Chowdhury, J.A., Latif, M.A.","1994","Tree volume table for Keora (Sonneratia apetala Buch.-Ham) in the coastal plantation of Bangladesh. In: Latif, M.A. (ed.), Tree volume table for keora (Sonneratia apetala) and Baen (Avicennia officinalis) in the coastal plantation of Banglaesh. Bulletin 8","",,,"","","2"
103,"Latif, M.A., Das, S., Rahman, M.F. and Chowdhury, J.A. (1994). Tree volume tables for Baen (Avicennia officinalis L.) in the coastal plantations of Bangladesh. In: Latif, M.A. (ed.), Tree volume table for keora (Sonneratia apetala) and Baen (Avicennia officinalis) in the coastal plantation of Banglaesh. Bulletin 8, F","Latif, M.A., Das, S., Rahman, M.F., Chowdhury, J.A.","1994","Tree volume tables for Baen (Avicennia officinalis L.) in the coastal plantations of Bangladesh. In: Latif, M.A. (ed.), Tree volume table for keora (Sonneratia apetala) and Baen (Avicennia officinalis) in the coastal plantation of Banglaesh. Bulletin 8, F","",,,"","","3"
104,"Rahman, M.F., Das, S. and Latif, M.A. (2001). Volume table for Koroi (albizia procera) and Arjun (Terminalia arjuna) trees planted in the central part of Bangladesh. Bangladesh Journal of Forest Science 30(1):39-46.","Rahman, M.F., Das, S., Latif, M.A.","2001","Volume table for Koroi (albizia procera) and Arjun (Terminalia arjuna) trees planted in the central part of Bangladesh.","Bangladesh Journal of Forest Science",30,1,"39-46","","4"
105,"Das, S., Rahman, M.F., Reza, N.A. and Latif, M.A. (1992). Tree volume tables for Sal (Shorea robusta Gaertn. f.) in the plantations of Bangladesh. Bulletin 7, Forest Inventory Series, Bangladesh Forest Research Institute, Chittagong, 1-11 pp.","Das, S., Rahman, M.F., Reza, N.A., Latif, M.A.","1992","Tree volume tables for Sal (Shorea robusta Gaertn. f.) in the plantations of Bangladesh. Bulletin 7, Forest Inventory Series, Bangladesh Forest Research Institute, Chittagong, 1-11 pp.","",,,"","","5"
106,"Islam, S.S., Reza, N.A., Hasnin, M., Khan, M.A.S., Islam, M.R. and Siddiqi, N.A. (1992). Volume table of young Keora (Sonneratia apetala) trees for the western coastal belt of Bangladesh. Bulletin 1, Plantation Trial Unit Series, Bangladesh Forest Research Institute, Chittagong.","Islam, S.S., Reza, N.A., Hasnin, M., Khan, M.A.S., Islam, M.R., Siddiqi, N.A.","1992","Volume table of young Keora (Sonneratia apetala) trees for the western coastal belt of Bangladesh. Bulletin 1, Plantation Trial Unit Series, Bangladesh Forest Research Institute, Chittagong,","",,,"44927","","6"
107,"Latif, M.A., Habib, M.A., Das, S. (1993). Tree volume tables for Acacia mangium in the plantations of Bangladesh. Bangladesh Journal of Forest Science 22:23-29.","Latif, M.A., Habib, M.A., Das, S.","1993","Tree volume tables for Acacia mangium in the plantations of Bangladesh.","Bangladesh Journal of Forest Science",22,,"23-29","","7"
108,"Latif, M.A. (1988). Biomass tables for young Eucalyptus grown in Bangladesh. Bano  Biggyan Patrika 17 (1 & 2): 46-54.","Latif, M.A.","1988","Biomass tables for young Eucalyptus grown in Bangladesh.","Bano Biggyan Patrika",17,,"46-54","","8"
109,"Islam, S.S. (1988). Commercial volume table for teak (Tectona grandis) in Bangladesh by regression technique. Bano Biggyan Patrika 17:55-67.","Islam, S.S.","1988","Commercial volume table for teak (Tectona grandis) in Bangladesh by regression technique.","Bano Biggyan Patrika",17,,"55-67","","9"
110,"Latif, M.A., Habib, M.A. (1993). Biomass table for Acacia auriculiformis grown in the plantation in Bangladesh. Indian Journal of Forestry 16(4):323-327.","Latif, M.A., Habib, M.A.","1993","Biomass table for Acacia auriculiformis grown in the plantation in Bangladesh.","Indian Journal of Forestry",16,4,"323-327","","10"
111,"Latif, M.A., Rahman, M.F., Das, S. (1995). Volume table for Acacia auriculiformis, Cassia siamea and Pinus caribaea in Bangladesh. Bangladesh Journal of Forest Science 24(2):22-30.","Latif, M.A., Rahman, M.F., Das, S.","1995","Volume table for Acacia auriculiformis, Cassia siamea and Pinus caribaea in Bangladesh.","Bangladesh Journal of Forest Science",24,2,"22-30","","11"
112,"Latif, M.A., Islam, M.S., Islam, S.M.Z. (2000). Volume tables for Sissoo, Koroi, Akashmoni, Babla, Mahogany, and Rain tree planted on embankments and road sides in the coastal areas of Bangladesh. Bulletin 9, Forest Inventory Series, Bangladesh Forest Research Institute, Chittagong.","Latif, M.A., Islam, M.S., Islam, S.M.Z.","2000","Volume tables for Sissoo, Koroi, Akashmoni, Babla, Mahogany, and Rain tree planted on embankments and road sides in the coastal areas of Bangladesh.","Bulletin 9, Forest Inventory Series, Bangladesh Forest Research Institute, Chittagong.",,,"","","12"
113,"Khan, M.N.I., Faruque, O. (2010). Allometric relationships for predicting the stem volume in a Dalbergia sissoo Roxb. plantation in Bangladesh. iForest 3:153-158.","Khan, M.N.I., Faruque, O.","2010","Allometric relationships for predicting the stem volume in a Dalbergia sissoo Roxb. plantation in Bangladesh.","iForest",3,,"153-158","","13"
114,"Mahmood, H., Siddique, M.R.H., Bose, A., Limon, S.H., Chowdhury, M.R.K.  Saha, S. (2012). Allometry, above-ground biomass and nutrient distribution in Ceriops decandra (Griffith) Ding Hou dominated forest types of the Sundarbans mangrove forest, Bangladesh. Wetlands Ecology and Management 20:539-548.","Mahmood, H., Siddique, M.R.H., Bose, A., Limon, S.H., Chowdhury, M.R.K.  Saha, S.","2012","Allometry, above-ground biomass and nutrient distribution in Ceriops decandra (Griffith) Ding Hou dominated forest types of the Sundarbans mangrove forest, Bangladesh.","Wetlands Ecology and Management",20,,"539-548","","14"
115,"Siddique, M.R.H., Mahmood, H., Chowdhury, M.R.K. (2012). Allometric relationship for estimating above-ground biomass of Aegialitis rotundifolia Roxb. of Sundarbans mangrove forest, in Bangladesh. Journal of Forestry Research 23(1):23-28.","Siddique, M.R.H., Mahmood, H., Chowdhury, M.R.K.","2012","Allometric relationship for estimating above-ground biomass of Aegialitis rotundifolia Roxb. of Sundarbans mangrove forest, in Bangladesh.","Journal of Forestry Research",23,1,"23-28","","15"
116,"Mahmood, H., Siddique, M.R.H., Saha, S., Abdullah, S.M.R. (2015). Allometric models for biomass, nutrients and carbon stock in Excoecaria agallocha of the Sundarbans, Bangladesh. Wetlands Ecology and Management 23(4):765-774.","Mahmood, H., Siddique, M.R.H., Saha, S., Abdullah, S.M.R.","2015","Allometric models for biomass, nutrients and carbon stock in Excoecaria agallocha of the Sundarbans, Bangladesh.","Wetlands Ecology and Management",23,4,"765-774","","16"
117,"Mahmood, H., Saha, C., Abdullah, S.M.R., Saha, S., Siddique, M.R.H. (2015). Allometric biomass, nutrient and carbon stock models for Kandelia candel of the Sundarbans, Bangladesh. .","Mahmood, H., Saha, C., Abdullah, S.M.R., Saha, S., Siddique, M.R.H.","2015","Allometric biomass, nutrient and carbon stock models for Kandelia candel of the Sundarbans, Bangladesh.","",,,"","","17"
