"character_id","root_character","character_sub1","botanical_id"
249,"habit","tree",18
250,"bark texture","smooth",18
251,"bole","branched",18
252,"thorn","absent",18
253,"petiole","petiolate",18
254,"stipules","absent",18
255,"leaf type","simple",18
256,"leaf arrangement","alternate",18
257,"leaf venation","pinnate",18
258,"inflorescence","corymb",18
259,"floral symmetry","actinomorphic",18
260,"floral type","pentamerous",18
261,"floral attachment","gamopetalous",18
262,"corolla aestivation","imbricate",18
263,"fruit","berry",18
264,"sexual Reproductive Unit","covered seed",18
265,"habit","tree",19
266,"bark texture","smooth",19
267,"bole","branched",19
268,"thorn","absent",19
269,"petiole","petiolate",19
270,"stipules","absent",19
271,"leaf type","simple",19
272,"leaf arrangement","alternate",19
273,"leaf venation","pinnate",19
274,"inflorescence","cymose",19
275,"floral symmetry","actinomorphic",19
276,"floral type","tetramerous",19
277,"floral attachment","gamopetalous",19
278,"corolla aestivation","valvate",19
279,"fruit","berry",19
280,"sexual Reproductive Unit","covered seed",19
281,"habit","tree",20
282,"bark texture","smooth",20
283,"bole","branched",20
284,"thorn","absent",20
285,"leaf persistence","deciduous",20
286,"petiole","petiolate",20
287,"stipules","absent",20
288,"leaf type","simple",20
289,"leaf arrangement","alternate",20
290,"leaf venation","pinnate",20
291,"inflorescence","cymose",20
292,"floral symmetry","actinomorphic",20
293,"floral type","tetramerous",20
294,"floral attachment","gamopetalous",20
295,"corolla aestivation","valvate",20
296,"fruit","berry",20
297,"sexual Reproductive Unit","covered seed",20
298,"habit","tree",21
299,"bark texture","plated",21
300,"bole","branched",21
301,"thorn","present",21
302,"leaf persistence","deciduous",21
303,"petiole","petiolate",21
304,"stipules","absent",21
305,"leaf type","simple",21
306,"leaf arrangement","alternate",21
307,"leaf venation","pinnate",21
308,"inflorescence","cymose",21
309,"floral symmetry","actinomorphic",21
310,"floral type","tetramerous",21
311,"floral attachment","gamopetalous",21
312,"corolla aestivation","valvate",21
313,"fruit","berry",21
314,"sexual Reproductive Unit","covered seed",21
315,"habit","tree",22
316,"bark texture","fissured",22
317,"bole","branched",22
318,"thorn","absent",22
319,"petiole","petiolate",22
320,"stipules","absent",22
321,"leaf type","simple",22
322,"leaf arrangement","alternate",22
323,"leaf venation","pinnate",22
324,"inflorescence","panicle",22
325,"floral symmetry","actinomorphic",22
326,"floral type","pentamerous",22
327,"floral attachment","gamopetalous",22
328,"corolla aestivation","imbricate",22
329,"fruit","drupe",22
330,"sexual Reproductive Unit","covered seed",22
331,"habit","tree",23
332,"bark texture","fissured",23
333,"bole","branched",23
334,"thorn","absent",23
335,"petiole","petiolate",23
336,"stipules","absent",23
337,"leaf type","simple",23
338,"leaf arrangement","alternate",23
339,"leaf venation","pinnate",23
340,"inflorescence","panicle",23
341,"floral symmetry","actinomorphic",23
342,"floral type","pentamerous",23
343,"floral attachment","gamopetalous",23
344,"corolla aestivation","imbricate",23
345,"fruit","drupe",23
346,"sexual Reproductive Unit","covered seed",23
347,"habit","tree",24
348,"bark texture","fissured",24
349,"bole","branched",24
350,"thorn","absent",24
351,"petiole","petiolate",24
352,"stipules","absent",24
353,"leaf type","simple",24
354,"leaf arrangement","alternate",24
355,"leaf venation","pinnate",24
356,"inflorescence","panicle",24
357,"floral symmetry","actinomorphic",24
358,"floral type","pentamerous",24
359,"floral attachment","gamopetalous",24
360,"corolla aestivation","imbricate",24
361,"fruit","drupe",24
362,"sexual Reproductive Unit","covered seed",24
363,"habit","tree",25
364,"bark texture","fissured",25
365,"bole","branched",25
366,"thorn","absent",25
367,"petiole","petiolate",25
