"ID","local_name","botanical_id","Species_ID"
1,"Dalup",18,1202
2,"",18,1202
3,"Aimabatam",19,44
4,"Salbiholom",19,44
5,"",19,44
6,"Marlia",20,45
7,"Marleza Gachh",20,45
8,"",20,45
9,"Ankora",21,46
10,"Akarkanta",21,46
11,"",21,46
12,"Kaju",22,77
13,"Kajubadam",22,77
14,"Hijlibadam",22,77
15,"",22,77
16,"Miriam",23,199
17,"Mailam",23,199
18,"Bhallam",23,199
19,"Uriam",23,199
20,"Moyam",23,199
21,"",23,199
22,"Chikki",24,227
23,"",24,227
24,"Pial",25,228
25,"Piyal",25,228
26,"Piyar ",25,228
27,"Nala-amshi ",25,228
28,"",25,228
29,"Kodi-barela",26,494
30,"Lau-barela",26,494
31,"Amjour",26,494
32,"Anjour",26,494
33,"Nala-amshi",26,494
34,"Sangaipre",26,494
35,"Khali",26,494
36,"",26,494
37,"Kabita",27,680
38,"Kattula",27,680
39,"",27,680
40,"Barola",28,749
41,"Jhawa",28,749
42,"",28,749
43,"Jiga",29,813
44,"Bhadi",29,813
45,"Jial",29,813
46,"Jialbhadi",29,813
47,"Jatabhadi",29,813
48,"Jigor",29,813
49,"Kamila",29,813
50,"Kafila",29,813
51,"Kaofla",29,813
52,"",29,813
53,"Aam",30,906
54,"",30,906
55,"Jangli aam",31,907
56,"Uri aam",31,907
57,"",31,907
58,"Uri Aam",32,909
59,"Jangli Aam",32,909
60,"Kosh Aam",32,909
61,"Laksmi Aam",32,909
62,"Gosara",32,909
63,"Garey Aam",32,909
64,"",32,909
65,"Kakrisingha",34,1164
66,"Kakra-shringi",34,1164
67,"",34,1164
68,"Kakrasinghi",35,1166
69,"Kakrasing",35,1166
70,"",35,1166
71,"Bela",36,1217
72,"Bhela",36,1217
73,"Beda",36,1217
74,"Bhelatuku",36,1217
75,"",36,1217
78,"Hijal",39,1221
79,"Bhela",39,1221
80,"Beula",39,1221
81,"Bhalao",39,1221
82,"",39,1221
83,"Kattula",40,1218
84,"",40,1218
85,"Amra",41,1254
86,"Deshi-amra",41,1254
87,"Pial",41,1254
88,"Piala",41,1254
89,"Thoura",41,1254
90,"Ambi-thong",41,1254
91,"",41,1254
92,"Beelati Amra",42,1255
93,"Amra",42,1255
94,"",42,1255
95,"Civit",43,1285
96,"Am-chundul",43,1285
97,"Sambung",43,1285
98,"Sanginphroo",43,1285
99,"Moilam-chibuk",43,1285
100,"Sangrin",43,1285
101,"Sibika ",43,1285
102,"",43,1285
103,"Borshi gach",44,80
104,"",44,80
105,"Borshi gach",45,81
106,"",45,81
107,"Ban aata",47,66
108,"Ramcola",47,66
109,"Topolong",47,66
110,"",47,66
111,"Muri aata",48,86
112,"Kanta aata",48,86
113,"",48,86
114,"Nona",49,87
115,"Nona aata",49,87
116,"Ataphal",49,87
117,"Ramphal",49,87
118,"",49,87
119,"Baduri aata",50,89
120,"Mao aata",50,89
121,"Meoaphal",50,89
122,"Sharifa",50,89
123,"Sitaphal",50,89
124,"",50,89
125,"Kathali champa",51,256
126,"",51,256
127,"Chagalnadi",52,454
128,"",52,454
129,"Kulla",53,455
130,"",53,455
131,"Ban ponial",54,961
132,"Kulum pahar",54,961
133,"Tasbi ",54,961
134,"Tulum pahar",54,961
135,"",54,961
136,"Chougri marich",55,962
137,"Kulla",55,962
138,"",55,962
139,"Kulla",56,964
140,"",56,964
141,"Gandhi-gajari",57,965
142,"Bul-gajari",57,965
143,"Bol samphol",57,965
144,"Chapatti",57,965
145,"Gobrasal",57,965
146,"Omey",57,965
147,"Pora sal",57,965
148,"Senia sal",57,965
149,"",57,965
150,"Panjon",60,1105
151,"Kudumi",60,1105
152,"",60,1105
153,"Debdaru",62,1107
154,"",62,1107
155,"Arjan",63,1108
156,"",63,1108
157,"Arjam",64,1109
158,"Chami",64,1109
159,"Garjandaru",64,1109
160,"",64,1109
161,"Barachali ",65,1111
162,"Murmuri ",65,1111
163,"Kukuriam",65,1111
164,"",65,1111
165,"Dhaman",66,1172
166,"Felating",66,1172
167,"",66,1172
168,"Chhatim",67,71
169,"",67,71
170,"Chhatim",68,72
171,"Chaitan",68,72
172,"",68,72
173,"Chaile",69,73
174,"Chaitan",69,73
175,"Chatni",69,73
176,"Kami",69,73
177,"Sakehan",69,73
178,"Satni",69,73
179,"Sensa",69,73
