"ID_WD","Tree_type","Vegetation_type","Region","location_group","Ecoregion_Udvardy","Ecoregion_WWF","Division_Bailey","Zone_Holdridge","ID_species","ID_reference","ID_RD","H_tree_avg","H_tree_min","H_tree_max","DBH_tree_avg","DBH_tree_min","DBH_tree_max","m_WD","MC_m","V_WD","MC_V","CR","FSP","Methodology_Green","Methodology_Airdry","Bark","Methodology_Ovendry","Density_green","Density_airdry","Density_ovendry","MC_Density","Data_origin","Data_type","Samples_per_tree","Number_of_trees","SD","Min","Max","H_measure","Bark_distance","CV","Convert_BD","Contributor","Remark"
1,"Tree","NA","NA",99,"NA","NA","NA","NA",8,49,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Direct measurement of the dimension of the specimen","NA","Water displacement method","NA",0.72,0.77,"NA","Biblio","Average","NA","NA","NA","NA","NA","NA","NA","NA","NA","1","Heavy wood"
2,"Tree","NA","NA",99,"NA","NA","NA","NA",3,50,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Water displacement method","Direct measurement of the dimension of the specimen","NA","Water displacement method","0.61",0.65,0.7,"NA","Biblio","Average","54","NA","NA","NA","NA","NA","NA","NA","NA","1","Moderate heavy"
3,"Tree","NA","NA",99,"NA","NA","NA","NA",7,50,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Water displacement method","Direct measurement of the dimension of the specimen","NA","Water displacement method","0.52",0.53,0.56,"NA","Biblio","Average","54","NA","NA","NA","NA","NA","NA","NA","NA","1","Moderate heavy"
4,"Tree","NA","NA",99,"NA","NA","NA","NA",8,50,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Water displacement method","Direct measurement of the dimension of the specimen","NA","Water displacement method","0.63",0.69,0.73,"NA","Biblio","Average","54","NA","NA","NA","NA","NA","NA","NA","NA","1","Heavy"
5,"Tree","NA","NA",99,"NA","NA","NA","NA",716,49,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Direct measurement of the dimension of the specimen","NA","Water displacement method","NA",0.6,0.65,"NA","Biblio","Average","NA","NA","NA","NA","NA","NA","NA","NA","NA","1","Moderately heavy wood"
6,"Tree","NA","NA",99,"NA","NA","NA","NA",48,50,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Water displacement method","Direct measurement of the dimension of the specimen","NA","Water displacement method","0.39",0.41,0.45,"NA","Biblio","Average","54","NA","NA","NA","NA","NA","NA","NA","NA","1","light"
7,"Tree","NA","NA",99,"NA","NA","NA","NA",53,50,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Water displacement method","Direct measurement of the dimension of the specimen","NA","Water displacement method","0.67",0.69,0.73,"NA","Biblio","Average","54","NA","NA","NA","NA","NA","NA","NA","NA","1","Heavy"
8,"Tree","NA","NA",99,"NA","NA","NA","NA",48,49,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Direct measurement of the dimension of the specimen","NA","Water displacement method","NA",0.42,0.44,"NA","Biblio","Average","NA","NA","NA","NA","NA","NA","NA","NA","NA","1","Light wood"
9,"Tree","NA","NA",99,"NA","NA","NA","NA",53,49,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Direct measurement of the dimension of the specimen","NA","Water displacement method","NA",0.63,0.66,"NA","Biblio","Average","NA","NA","NA","NA","NA","NA","NA","NA","NA","1","Moderately heavy wood"
10,"Tree","NA","NA",99,"NA","NA","NA","NA",52,49,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Direct measurement of the dimension of the specimen","NA","Water displacement method","NA",0.71,0.76,"NA","Biblio","Average","NA","NA","NA","NA","NA","NA","NA","NA","NA","1","Heavy wood"
