"THANAME","DIV_CODE_1","DIST_COD_1","UPZ_CODE_1","Area"
"Amtali",10,1004,100409,588900000
"Bamna",10,1004,100419,99760000
"Barguna Sadar",10,1004,100428,376100000
"Betagi",10,1004,100447,168000000
"Patharghata",10,1004,100485,305200000
"Agailjhara",10,1006,100602,157600000
"Babuganj",10,1006,100603,159300000
"Bakerganj",10,1006,100607,395600000
"Banari Para",10,1006,100610,134200000
"Gaurnadi",10,1006,100632,158300000
"Hizla",10,1006,100636,365600000
"Barisal Sadar (Kotwali)",10,1006,100651,301800000
"Mehendiganj",10,1006,100662,400200000
"Muladi",10,1006,100669,244600000
"Wazirpur",10,1006,100694,237200000
"Bhola Sadar",10,1009,100918,440700000
"Burhanuddin",10,1009,100921,286200000
"Char Fasson",10,1009,100925,1380000000
"Daulatkhan",10,1009,100929,306500000
"Lalmohan",10,1009,100954,380700000
"Manpura",10,1009,100965,509200000
"Tazumuddin",10,1009,100991,350700000
"Jhalokati Sadar",10,1042,104240,203900000
"Kanthalia",10,1042,104243,158200000
"Nalchity",10,1042,104273,219400000
"Rajapur",10,1042,104284,161600000
"Bauphal",10,1078,107838,487400000
"Dashmina",10,1078,107852,301000000
"Dumki",10,1078,107855,93270000
"Galachipa",10,1078,107857,1205000000
"Kala Para",10,1078,107866,487500000
"Mirzaganj",10,1078,107876,176100000
"Patuakhali Sadar",10,1078,107895,365600000
"Bhandaria",10,1079,107914,166300000
"Kawkhali",10,1079,107947,81140000
"Mathbaria",10,1079,107958,352400000
"Nazirpur",10,1079,107976,225200000
"Pirojpur Sadar",10,1079,107980,164200000
"Nesarabad (Swarupkati)",10,1079,107987,185000000
"Zianagar",10,1079,107990,99180000
"Alikadam",20,2003,200304,785600000
"Bandarban Sadar",20,2003,200314,528500000
"Lama",20,2003,200351,704100000
"Naikhongchhari",20,2003,200373,517600000
"Rowangchhari",20,2003,200389,436700000
"Ruma",20,2003,200391,628300000
"Thanchi",20,2003,200395,987300000
"Akhaura",20,2012,201202,85750000
"Banchharampur",20,2012,201204,207000000
"Bijoynagar",20,2012,201207,228800000
"Brahmanbaria Sadar",20,2012,201213,213100000
"Ashuganj",20,2012,201233,77550000
"Kasba",20,2012,201263,217000000
"Nabinagar",20,2012,201285,360000000
"Nasirnagar",20,2012,201290,317000000
"Sarail",20,2012,201294,220200000
"Chandpur Sadar",20,2013,201322,316500000
"Faridganj",20,2013,201345,235300000
"Haim Char",20,2013,201347,168000000
"Hajiganj",20,2013,201349,191400000
"Kachua",20,2013,201358,237500000
"Matlab Dakshin",20,2013,201376,128800000
"Matlab Uttar",20,2013,201379,281900000
"Shahrasti",20,2013,201395,154300000
"Anowara",0,0,201504,160900000
"Bayejid Bostami",0,0,201506,42540000
"Banshkhali",0,0,201508,362700000
"Bakalia",0,0,201510,10410000
"Boalkhali",0,0,201512,139500000
"Chandanaish",0,0,201518,199600000
"Chandgaon",0,0,201519,21140000
"Chittagong Port",0,0,201520,26020000
"Double Mooring",0,0,201528,10500000
"Fatikchhari",0,0,201533,759000000
"Halishahar",0,0,201535,14380000
"Hathazari",0,0,201537,213300000
"Kotwali",0,0,201541,9690000
"Khulshi",0,0,201543,12840000
"Lohagara",0,0,201547,260200000
"Mirsharai",0,0,201553,510800000
"Pahartali",0,0,201555,11310000
"Panchlaish",0,0,201557,6427000
"Patiya",0,0,201561,304200000
"Patenga",0,0,201565,32390000
"Rangunia",0,0,201570,353900000
"Raozan",0,0,201574,242700000
"Sandwip",0,0,201578,390200000
"Satkania",0,0,201582,276900000
