"THANAME","UNINAME","DIV_CODE_1","DIST_COD_1","UPZ_CODE_1","UNI_CODE_1","Area_uni_m","ID"
"Bagerhat Sadar","Barai Para",40,4001,400108,40010817,34150380.8783429,1
"Bagerhat Sadar","Bemarta",40,4001,400108,40010825,38152693.230055,2
"Bagerhat Sadar","Bishnupur",40,4001,400108,40010834,30795962.4984745,3
"Bagerhat Sadar","Dema",40,4001,400108,40010835,45125670.0152548,4
"Bagerhat Sadar","Gota Para",40,4001,400108,40010851,30332633.2909167,5
"Bagerhat Sadar","Jatrapur",40,4001,400108,40010860,26079833.6445944,6
"Bagerhat Sadar","Kara Para",40,4001,400108,40010869,25385111.6403843,7
"Bagerhat Sadar","Khanpur",40,4001,400108,40010877,21502940.6550675,8
"Bagerhat Sadar","Rakhalgachhi",40,4001,400108,40010886,19151763.7468243,9
"Bagerhat Sadar","Shat Gambuj",40,4001,400108,40010894,36835128.2348881,10
"Bagerhat Sadar","Ward No-01",40,4001,400108,40010801,1492274.41909435,11
"Bagerhat Sadar","Ward No-02",40,4001,400108,40010802,987774.42384943,12
"Bagerhat Sadar","Ward No-03",40,4001,400108,40010803,1494279.12301019,13
"Bagerhat Sadar","Ward No-04",40,4001,400108,40010804,367855.56507149,14
"Bagerhat Sadar","Ward No-05",40,4001,400108,40010805,354356.14460711,15
"Bagerhat Sadar","Ward No-06",40,4001,400108,40010806,425862.09487317,16
"Bagerhat Sadar","Ward No-07",40,4001,400108,40010807,352891.77390162,17
"Bagerhat Sadar","Ward No-08",40,4001,400108,40010808,1194277.20847208,18
"Bagerhat Sadar","Ward No-09",40,4001,400108,40010809,749053.38121413,19
"Chitalmari","Bara Baria",40,4001,400114,40011419,35146982.0855999,20
"Chitalmari","Char Baniari",40,4001,400114,40011415,22106172.497172,22
"Chitalmari","Chitalmari",40,4001,400114,40011431,55547396.9243663,23
"Chitalmari","Hizla",40,4001,400114,40011447,23792412.8072947,24
"Chitalmari","Kalatala",40,4001,400114,40011466,25175693.7335916,25
"Chitalmari","Santoshpur",40,4001,400114,40011463,19567821.1724686,26
"Chitalmari","Shibpur",40,4001,400114,40011479,14491978.6112615,27
"Fakirhat","Bahirdia Mansa",40,4001,400134,40013410,15807829.159062,28
"Fakirhat","Betaga",40,4001,400134,40013421,18470421.333353,29
"Fakirhat","Fakirhat",40,4001,400134,40013431,25766822.5293564,30
"Fakirhat","Lakhpur",40,4001,400134,40013442,18486323.0366049,31
"Fakirhat","Mulghar",40,4001,400134,40013452,18556631.3782018,32
"Fakirhat","Naldha Maubhog",40,4001,400134,40013463,14710258.0878485,33
"Fakirhat","Piljanga",40,4001,400134,40013473,23113773.238475,34
